type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,abstract
article,2804401,Callum  Parker and Martin  Tomitsch and Judy  Kay and Matthias  Baldauf,,,,Keeping It Private: An Augmented Reality Approach to Citizen Participation with Public Displays,807--812,,6,"civic computing, community engagement, mobile augmented reality, pervasive displays, pervasive participation",10.1145/2800835.2804401,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA","With the availability of displays in public space increasing, they have been proposed and studied as platform for civic engagement. Due to their situated nature, public displays have the potential to enable a larger cross-section of the public to participate in community consultation processes, compared to focus groups or online surveys. Previous research has investigated a range of interaction methods for enabling this form of citizen participation with public displays. Through an analysis of related work we identified four main categories of interaction methods: remote indirect, kiosk, mid-air gestural and mobile. In this paper we propose a formerly introduced interaction method, based upon mobile augmented reality, which promises to enable pervasive participation by making interactions more private and simultaneous, through a familiar and convenient interface."
article,2783585,Alexandra  Stiver and Leonor  Barroca and Marian  Petre and Mike  Richards and Dave  Roberts,,,,Civic Crowdfunding: How Do Offline Communities Engage Online?,37--45,,9,"civic crowdfunding, empirical studies, online community, social media",10.1145/2783446.2783585,,,,,,,2015,,Proceedings of the 2015 British HCI Conference,British HCI '15,,978-1-4503-3643-7,"Lincoln, Lincolnshire, United Kingdom",ACM,"New York, NY, USA","Civic crowdfunding is a sub-type of crowdfunding whereby citizens contribute to funding community-based projects ranging from physical structures to amenities. Though civic crowdfunding has great potential for impact, it remains a developing field in terms of project success and widespread adoption. To explore how technology shapes interactions and outcomes within civic projects, our research addresses two interrelated questions: how do offline communities engage online across civic crowdfunding projects, and, what purpose does this activity serve both projects and communities? These questions are explored through discussion of types of offline communities and description of online activity across civic crowdfunding projects. We conclude by considering the implications of this knowledge for civic crowdfunding and its continued research."
article,2675187,Bryan  Semaan and Heather  Faucett and Scott  Robertson and Misa  Maruyama and Sara  Douglas,,,,Navigating Imagined Audiences: Motivations for Participating in the Online Public Sphere,1158--1169,,12,"audience, context, motivations, public sphere, social media",10.1145/2675133.2675187,,,,,,,2015,,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing,CSCW '15,,978-1-4503-2922-4,"Vancouver, BC, Canada",ACM,"New York, NY, USA","Little is known about why and how people use multiple social media platforms for political participation, or about the contexts through which social media is appropriated. This paper reports on a qualitative interview study of social media use by politically interested citizens. We interviewed 27 residents of the state of Hawaii who integrated one or more social media tools into their daily lives to participate in the online public sphere. Different social media environments offer both different affordances for action and different audiences, and we describe how media choice is driven by the match between motivations and affordances, and also by the imagined audience. We identified a number of motivations including understanding different viewpoints, formulating perspectives, engaging in positive discourse, repairing Hawaii's image, increasing political awareness and improving civic engagement. We discuss how these goals relate to both intrinsic and extrinsic motivations. Finally, we examine how social media choice and satisfaction were tied to the physical world context and people's sense of the audience within any particular medium."
article,2337407,Phil  Greenwood and Awais  Rashid and James  Walkerdine,,,,UDesignIt: Towards Social Media for Community-driven Design,1321--1324,,4,,,,,,,,,2012,,Proceedings of the 34th International Conference on Software Engineering,ICSE '12,,978-1-4673-1067-3,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA"," Online social networks are now common place in day-to-day lives. They are also increasingly used to drive social action initiatives, either led by government or communities themselves (e.g., SeeClickFix, LoveLewisham.org, mumsnet). However, such initiatives are mainly used for crowd sourcing community views or coordinating activities. With the changing global economic and political landscape, there is an ever pressing need to engage citizens on a large-scale, not only in consultations about systems that affect them, but also involve them directly in the design of these very systems. In this paper we present the UDesignIt platform that combines social media technologies with software engineering concepts to empower communities to discuss and extract high-level design features. It combines natural language processing, feature modelling and visual overlays in the form of ``image clouds'' to enable communities and software engineers alike to unlock the knowledge contained in the unstructured and unfiltered content of social media where people discuss social problems and their solutions. By automatically extracting key themes and presenting them in a structured and organised manner in near real-time, the approach drives a shift towards large-scale engagement of community stakeholders for system design. "
article,2037628,Theresa  Pardo and Meghan  Cook and Jana  Hrdinov&#225;,,,,Investing in Open Government: Applying Lessons from Research and Practice,367--368,,2,"collaboration, open government, participation, public value, technology innovation, transparency, web 2.0",10.1145/2037556.2037628,,,,,,,2011,,Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times,dg.o '11,,978-1-4503-0762-8,"College Park, Maryland, USA",ACM,"New York, NY, USA","The 2009 White House Open Government Directive set off a wave of planning and new initiative development among federal agencies designed to achieve the goals of this mandate, and has stimulated significant interest among state and local governments and open government advocates in their efforts. Federal initiatives have been directed at increasing transparency, citizen engagement and participation, as well as cultivating collaboration with the public and other government agencies. Using new technologies, especially social media technologies, to fulfill the mandate of this directive provides an opportunity for governments to engage citizens in new ways and create innovative collaboration models. However, it also increases levels of risk and uncertainty due to the complexity of implementing technologies that are not yet well understood in substantially new government contexts. These opportunities and risks make current ""Government 2.0"" efforts an interesting and valuable digital government research area. This panel will help promote such research by providing an opportunity for government officials and researchers to identify and discuss significant research issues and goals related to open government at the federal agency level."
article,2463750,Natalie Greene Taylor and Paul T. Jaeger and Ursula  Gorham and John Carlo Bertot and Ruth  Lincoln and Elizabeth  Larson,,,,"The Circular Continuum of Agencies, Libraries, and Users: A Model of e-Government in Practice",87--94,,8,"digital government, electronic government, models",10.1145/2463728.2463750,,,,,,,2012,,Proceedings of the 6th International Conference on Theory and Practice of Electronic Governance,ICEGOV '12,,978-1-4503-1200-4,"Albany, New York, USA",ACM,"New York, NY, USA","When e-government first became a viable solution to the dissemination of government information, experts believed that the rise of direct government-to-citizen (G2C) services would improve government transparency and foster civic engagement. It soon became clear, however, that not all users were not getting the type of information or instruction that they needed from this arrangement, and that there was a need for an intermediary in this continuum of services. Increasingly, libraries fulfill this role. Instead of direct government-to-user interaction, information channels flow from agency to librarian to user, from user back up to agency, and from agency to user to librarian. This paper expands on the idea of these multiple pathways of information through research conducted in collaboration with libraries, government agencies, state library agencies, and a national library association in the United States with aims to create an e-government web resource to assist librarians engaging in e-government services. The different pathways of information both informed the creation of the web resource and offered a practical model of e-government, important for other projects dealing with similar information."
article,2465614,Shahzore  Qureshi and Francisco  Estevez and Sarah Monisha Pulimood,,,,Students Organizing Against Pollution: Computational Thinking Across Boundaries,356--356,,1,"civic engagement, collaborative learning, information access, user-generated content moderation, web-based database system",10.1145/2462476.2465614,,,,,,,2013,,Proceedings of the 18th ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '13,,978-1-4503-2078-8,"Canterbury, England, UK",ACM,"New York, NY, USA","There is a growing need in computer science education to develop courses that demonstrate the articulations between computer science and an array of computing-dependent fields. This poster describes an effort to develop a model for students and faculty to collaborate across disciplines and with a community organization to develop computational solutions to address complex real-world problems. Students in computer science classes are collaborating with students in journalism classes and Habitat for Humanity, to develop a web-based system that manages pollution related data. This is an initiative aimed at empowering citizens in the Trenton area of New Jersey with the opportunity to learn, share, and contribute pollution data while encouraging them to become participants in environmental advocacy and public policy deliberations on these issues. While students focus on the objectives of the individual courses, they are also deeply engaged in the complexities of privacy, security, accessibility of data, user-centered design, etc. as they ponder civic justice issues."
article,2556481,Jerry Alan Fails and Katherine G. Herbert and Emily  Hill and Christopher  Loeschorn and Spencer  Kordecki and David  Dymko and Andrew  DeStefano and Zill  Christian,,,,GeoTagger: A Collaborative and Participatory Environmental Inquiry System,157--160,,4,"adventures, children, citizen science, collaboration, social",10.1145/2556420.2556481,,,,,,,2014,,Proceedings of the Companion Publication of the 17th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing,CSCW Companion '14,,978-1-4503-2541-7,"Baltimore, Maryland, USA",ACM,"New York, NY, USA","This note focuses on the motivation, approach, and the initial prototype implementation of Geotagger: a collaborative participatory environmental inquiry system. We situate the need for such a technology, and discuss related work -- much of which is situated in the realm of citizen science. Our work uniquely distinguishes itself from many other citizen science applications in that it supports limited data collection and analysis, with the additional benefit of supporting social interactions and engagement through conversations about observed data. This is accomplished by creating friends and groups which are collaborators in the observational inquiry process."
article,2496004,Minna  Pakanen and Anna Maria Polli and Stella  Lee and Joseph  Lindley and Jorge  Goncalves,,,,Tending a Virtual Garden: Exploring Connectivity Between Cities,761--764,,4,"civic engagement, collaboration, experience-driven design, public displays, ubiquitous computing, urban space",10.1145/2494091.2496004,,,,,,,2013,,Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication,UbiComp '13 Adjunct,,978-1-4503-2215-7,"Zurich, Switzerland",ACM,"New York, NY, USA","This paper introduces a new experience-driven design concept to public spaces, such as bus stops, to strengthen connections between cities and their citizens. With the prototype described here we are provoking inquiry into whether the ""technology"" that is a bus stop, with high tech augmentations can engender civic engagement and more interconnected cities. Our preliminary user studies showed that people, while waiting for the bus, do not interact with each other, and as such are ""alone together"". Our concept is to connect people in the city, and also between two different cities by utilizing their waiting time. ""Virtual Garden"" creates the experience of ""being connected"" by providing users with the possibility to ""grow"" a collaborative garden using a smartphone and natural gestures as the control interaction. Lo-fi prototypes were used to gather user feedback which informed the design of the 'Virtual Garden'."
article,2531605,Bryan C. Semaan and Scott P. Robertson and Sara  Douglas and Misa  Maruyama,,,,Social Media Supporting Political Deliberation Across Multiple Public Spheres: Towards Depolarization,1409--1421,,13,"depolarization, multi-mediation, public sphere, social media",10.1145/2531602.2531605,,,,,,,2014,,Proceedings of the 17th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing,CSCW '14,,978-1-4503-2540-0,"Baltimore, Maryland, USA",ACM,"New York, NY, USA","This paper reports on a qualitative study of social media use for political deliberation by 21 U.S. citizens. In observing people's interactions in the ""sprawling public sphere"" across multiple social media tools in both political and non-political spaces, we found that social media supported the interactional dimensions of deliberative democracy--the interaction with media and the interaction between people. People used multiple tools through which they: were serendipitously exposed to diverse political information, constructed diverse information feeds, disseminated diverse information, and engaged in respectful and reasoned political discussions with diverse audiences. When people's civic agency was inhibited when using a tool, they often adopted, or switched to, alternative media that could afford what they were trying to achieve. Contrary to the polarization perspective, we find that people were purposefully seeking diverse information and discussants. Some individuals altered their views as a result of the interactions they were having in the online public sphere."
article,2641581,Stef  van Grieken,,,,Let's Build the Road Network of Civic Tech,41:1--41:1,41,1,,10.1145/2641580.2641581,,,,,,,2014,,Proceedings of The International Symposium on Open Collaboration,OpenSym '14,,978-1-4503-3016-9,"Berlin, Germany",ACM,"New York, NY, USA","Your awesome petition app is like a sports car without a freeway to drive on. Over the past several years we've built amazing civic apps that are improving public service delivery, engaging more citizens in the political process, and making governments more accountable around the world. But we're rapidly approaching a point common to all new public technologies: the need for common infrastructure to enable massive scale. This talk will discuss three tenets of civic technology that will take us towards a common framework, and present research and examples of work doing this today. It's time for developers, governments, corporations, academics, funders and citizens to come together and lay the groundwork for what's next."
article,2461153,Kelly  Shigeno and Sergio  Borger and Diego  Gallo and Ricardo  Herrmann and Mateus  Molinaro and Carlos  Cardonha and Fernando  Koch and Priscilla  Avegliano,,,,Citizen Sensing for Collaborative Construction of Accessibility Maps,24:1--24:2,24,2,,10.1145/2461121.2461153,,,,,,,2013,,Proceedings of the 10th International Cross-Disciplinary Conference on Web Accessibility,W4A '13,,978-1-4503-1844-0,"Rio de Janeiro, Brazil",ACM,"New York, NY, USA","In this demo we present IBM Sidewalks, a mobile application designed to facilitate the identification of accessibility issues in a city via crowdsourcing. This application connects to our Citizen Sensing platform, providing to city administrators an integrated view about issues in the city, such as sidewalks that are obstructed or in bad condition. If a representative amount of data is collected through people engagement, a significant number of issues will be registered, and analytics tools can be used to identify the impact these issues have on people with disabilities' lives. Consequently, we can use such information to build accessibility maps, and possibly to define an appropriate action plan to address the issues, optimizing resource allocation."
article,1518741,Kurt  Luther and Scott  Counts and Kristin B. Stecher and Aaron  Hoff and Paul  Johns,,,,Pathfinder: An Online Collaboration Environment for Citizen Scientists,239--248,,10,"citizen science, online collaboration, online communities, social computing, social data analysis, sustainability, wiki",10.1145/1518701.1518741,,,,,,,2009,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '09,,978-1-60558-246-7,"Boston, MA, USA",ACM,"New York, NY, USA","For over a century, citizen scientists have volunteered to collect huge quantities of data for professional scientists to analyze. We designed Pathfinder, an online environment that challenges this traditional division of labor by providing tools for citizen scientists to collaboratively discuss and analyze the data they collect. We evaluated Pathfinder in a sustainability and commuting context using a mixed methods approach in both naturalistic and experimental settings. Our results showed that citizen scientists preferred Pathfinder to a standard wiki and were able to go beyond data collection and engage in deeper discussion and analyses. We also found that citizen scientists require special types of technological support because they generate original research. This paper offers an early example of the mutually beneficial relationship between HCI and citizen science."
article,1556473,Marco A. Figueiredo and Paola  Prado and Mauro A. C&#226;mara and Ana M. Albuquerque,,,,Empowering Rural Citizen Journalism via Web 2.0 Technologies,77--84,,8,"analysis of collective practices, applications for underserved users, community informatics, digital divide, digital inclusion, ict4d, rural telecenters, video blog, web 2.0",10.1145/1556460.1556473,,,,,,,2009,,Proceedings of the Fourth International Conference on Communities and Technologies,C&#38;T '09,,978-1-60558-713-4,"University Park, PA, USA",ACM,"New York, NY, USA","Once acquainted with the modern information and communication tools made available with the advent of the Internet, five Brazilian rural communities participating in a pilot project to develop a self-sustaining telecenter model, engaged in citizen journalism using inexpensive digital video cameras. Community members used Web 2.0 collaborative tools to post short videos on the telecenter portal. The 95 video blogs published between September 2006 and May 2008 recorded various aspects of community life, including religious celebrations, oral history arts and crafts traditions, folklore, and environmental concerns. This study evaluates the impact of video blogging in these communities."
article,2783625,Duncan  Rowland and Abigail  Durrant and Rachel  Clarke,,,,Interactions Gallery,309--309,,1,"creative practice, interactions gallery, interactive media arts",10.1145/2783446.2783625,,,,,,,2015,,Proceedings of the 2015 British HCI Conference,British HCI '15,,978-1-4503-3643-7,"Lincoln, Lincolnshire, United Kingdom",ACM,"New York, NY, USA","This paper describes the Interactions Gallery, a new initiative at British HCI (BHCI) that seeks to bring a 'pop-up' gallery space to an academic conference. Submissions were welcomed from creative practitioners, artists and HCI researchers alike, with the call for work that provokes open discussion about the conference themes -- on the nature of computers in society and the future of human-computer interaction (HCI). More specifically, with Lincoln housing one of only four surviving copies of the Magna Carta the city has taken a major role in the 2015's 800th anniversary celebrations. This anniversary has provided a unique historic backdrop for a conference theming relating to the role interactive technology plays in the enactment of our civic lives. Interactive technologies are increasingly mediating citizens' relationships to their privacy, rights, authority, governance and each other. It therefore seemed fitting to include work for the Interactions Gallery that engages with the concerns of social renewal, activism, democracy, and grassroots innovation. Submitted work was diverse in approach, including fine art, performance, interactive media design, demonstrations and technologically augmented live experiences. The chairs collectively selected pieces based on their thematic relevance and the practical staging requirements of the event setting. Work was documented through the archival publication of abstracts in the conference proceedings."
article,2063235,Bryan  Semaan and Gloria  Mark,,,,Technology-mediated Social Arrangements to Resolve Breakdowns in Infrastructure During Ongoing Disruption,21:1--21:21,21,21,"Infrastructure, collaboration, crisis informatics, disrupted environments, empirical study, human infrastructure, ontological security, recovery, routines, trust",10.1145/2063231.2063235,ACM Trans. Comput.-Hum. Interact.,December 2011,18,4,,December,2011,1073-0516,,,,,,ACM,"New York, NY, USA","When societies experience disruption as caused by natural disasters, various official government agencies, relief organizations, and emergent citizen groups engage in activities that aid in the recovery effort—the process that leads to the resumption of normal life. In war environments however, societal trust can be affected and people may develop distrust of the institutions and associated individuals that provide and resolve breakdowns in infrastructure. This article reports on an ethnographic study of the use of information and communication technologies (ICTs) by citizens experiencing ongoing disruption in a conflict zone. We conducted 90 semistructured interviews with Iraqi civilians who experienced the 2nd Gulf War beginning in March 2003. We show how citizens used ICTs to continuously resolve breakdowns in infrastructure during ongoing disruption caused by the conflict, by creating new, reliable technology-mediated social arrangements that enabled people to maintain daily routines for travel, education, and obtaining information. We then discuss new ways to think about infrastructure and implications for the disaster relief effort."
article,2691233,Dragana  Majstorovic and Maria A. Wimmer,,,,Future Scenarios of ICT Solutions for Governance and Policy Modelling,124--133,,10,"innovative ICT solutions for policy modelling, open governance, policy making, scenario building",10.1145/2691195.2691233,,,,,,,2014,,Proceedings of the 8th International Conference on Theory and Practice of Electronic Governance,ICEGOV '14,,978-1-60558-611-3,"Guimaraes, Portugal",ACM,"New York, NY, USA","The modern world is facing global challenges while at the same time becoming more and more interconnected, dynamic and complex in nature. Accordingly, appropriate methods and tools for successful open and collaborative public governance and public policy making supported by innovative ICT are increasingly becoming important. Along the demands for the implementation of good governance principles and the adoption of open government, policy officials need concise and reliable information to conduct policy making in an efficient and effective way. Likewise, the engagement of the citizenry as well as of civil society organisations (CSOs) and of representatives of the business and voluntary sectors have become imperative. In an international and inter-disciplinary researcher network called eGovPoliNet, scholars have developed visionary scenarios to envisage how ICT-supported open and public governance and policy making might emerge in the years to come. We used scenario building as a method to get insights into potential alternative futures in a certain area. The scenarios sketched the interactions, environment, technological developments and other relevant aspects of potential futures of ICT-enabled public governance and how policy modelling could be deployed thereby. From initial 19 scenarios formulated, a final set of six scenarios has been consolidated and exposed to a wider group of experts. Next step in this process is to develop a range of grand challenges and research directions in this field."
proceeding,2463728,,J. Ramon Gil-Garcia and Natalie  Helbig and Adegboyega  Ojo,,Conference Chair-David  Ferriero and Conference Chair-Theresa  Pardo and Conference Chair-Haiyan  Qian,,,,,,,,,,,,,2012,,Proceedings of the 6th International Conference on Theory and Practice of Electronic Governance,,,978-1-4503-1200-4,"Albany, New York, USA",ACM,"New York, NY, USA","The 6th International Conference on Theory and Practice of Electronic Governance, ICEGOV2012, was held in Albany, New York, United States (US) from October 22-25, 2012. It was hosted by the Center for Technology in Government, University at Albany, State University of New York under the patronage of the United States National Archives and Record Administration. The conference was supported by the Center for Electronic Governance of the United Nations University - International Institute for Software Technology (UNU-IIST), Macao SAR, which is the ICEGOV Series Organizer.The ICEGOV (International Conference on Theory and Practice of Electronic Governance) series focuses on the use of technology to transform relationships between government and citizens, businesses, civil society and other governments (Electronic Governance). Established in 2007 by the Center for Electronic Governance, UNU-IIST, the series looks beyond the traditional focus on technology-enabled transformation in government (Electronic Government) towards new forms, new paradigms, and new foundations for technology-enabled governance, collaboration and sustainable development. ICEGOV is a forum where researchers and practitioners meet to test theories, share insights and report their experiences. It facilitates network- and capacity-building through a diversity of presentation formats. The conference also provides a unque developmental opportunity for participants from developing countries, nations in transition, United Nations agencies, and from a range of governmental and non-governmental organizations. Since its establishment, the series has traveled the globe from Macao SAR (ICEGOV2007), to Cairo (ICEGOV2008), Bogota (ICEGOV2009), Beijing (ICEGOV2010), Tallinn (ICEGOV2011), and now to Albany (ICEGOV2012); with each edition generating significant local interest and stakeholder engagement."
article,2317980,Ronald  Schroeter and Marcus  Foth and Christine  Satchell,,,,"People, Content, Location: Sweet Spotting Urban Screens for Situated Engagement",146--155,,10,"civic deliberation, community engagement, locative media, mobile interaction, mobile media, public screens, urban informatics",10.1145/2317956.2317980,,,,,,,2012,,Proceedings of the Designing Interactive Systems Conference,DIS '12,,978-1-4503-1210-3,"Newcastle Upon Tyne, United Kingdom",ACM,"New York, NY, USA","A growing body of research is looking at ways to bring the processes and benefits of online deliberation to the places they are about and in turn allow a larger, targeted proportion of the urban public to have a voice, be heard, and engage in questions of city planning and design. Seeking to take advantage of the civic opportunities of situated engagement through public screens and mobile devices, our research informed a public urban screen content application DIS that we deployed and evaluated in a wide range of real world public and urban environments. For example, it is currently running on the renowned urban screen at Federation Square in Melbourne. We analysed the data from these user studies within a conceptual framework that positions situated engagement across three key parameters: people, content, and location. We propose a way to identify the sweet spot within the nexus of these parameters to help deploy and run interactive systems to maximise the quality of the situated engagement for civic and related deliberation purposes."
article,2783590,Mara  Balestrini and Yvonne  Rogers and Paul  Marshall,,,,Civically Engaged HCI: Tensions Between Novelty and Social Impact,35--36,,2,"activism, civically engaged research, grassroots, technologies for social action",10.1145/2783446.2783590,,,,,,,2015,,Proceedings of the 2015 British HCI Conference,British HCI '15,,978-1-4503-3643-7,"Lincoln, Lincolnshire, United Kingdom",ACM,"New York, NY, USA","HCI researchers are increasingly conducting civically engaged research in the wild to design technologies for social action that aim to empower communities at the grassroots level. However, there are very few descriptions of HCI interventions that have achieved sustained community engagement and social impact. We discuss three tensions that are hindering HCI's capacity to produce both research and social contributions and suggest how to overcome them."
article,2729118,Aleksandr  Sherstobitov,,,,The Potential of Social Media in Russia: From Political Mobilization to Civic Engagement,162--166,,5,"Social media, network analysis, political mobilization, political participation",10.1145/2729104.2729118,,,,,,,2014,,Proceedings of the 2014 Conference on Electronic Governance and Open Society: Challenges in Eurasia,EGOSE '14,,978-1-4503-3401-3,"St. Petersburg, Russian Federation",ACM,"New York, NY, USA","Social media was one of the most influential platforms used by counterparts in many recent contentious political events all over the world. Both the statist and protest groups used web-based social networks for political mobilization during the electoral period of 2011–2012 in Russia. This paper focuses on two basic aspects of political communication in the Russian segment of the Internet. Firstly, it discusses the emergence of pro-elite and protest networks, which aim to mobilize political participation during the electoral period. Secondly, it explores the evolution of such networks within 18 months and offline activity, which is determined by contention on social media. In our survey, we take the pro-elite and protest segments of the Russian social network, ""Vkontakte"", as an object of analysis. We use network analysis to examine how the network appeared and occurred during the electoral period, as well as how such networks have changed 18 months later. The study of the transformations of the protest segments showed a significant shift in civic engagement. One and a half years after the electoral cycle of 2011–2012, the network protest groups institutionalized in NGOs or, at least, in the civil initiatives of different areas: election observation, anti-corruption activity and local issues, etc."
article,1753898,Travis  Kriplean,,,,Building Interpretable Discussions: For Effective Public Engagement,2971--2974,,4,"advocacy, collaboration, deliberation, labor, political communication, sensemaking, translucence",10.1145/1753846.1753898,,,,,,,2010,,CHI '10 Extended Abstracts on Human Factors in Computing Systems,CHI EA '10,,978-1-60558-930-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA","Shifts in the culture of civic engagement, technologies and practices surrounding social media, and pressure from political leaders have ignited a movement amongst gov't agencies to extend their efforts for obtaining input on public issues. These projects face serious challenges related to scale of participation and political capture, though collaborative efforts elsewhere suggest we may be able to support interactions amongst large numbers of people. Instead of emphasizing the exchange of individual messages and voting, I propose that systems should be designed to support the cooperative production of discussions."
article,1754016,Solomon  Bisker and Mark  Gross and Donald  Carter and Eric  Paulos and Stacey  Kuznetsov,,,,"Personal, Public: Using DIY to Explore Citizen-led Efforts in Urban Computing",3547--3552,,6,"cameras, community, diy, government, photography, public performance, story telling, throwies, ubiquitous computing, urban computing, urban planning",10.1145/1753846.1754016,,,,,,,2010,,CHI '10 Extended Abstracts on Human Factors in Computing Systems,CHI EA '10,,978-1-60558-930-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA","As communities develop technological literacy and explore how technology can impact their lives, the future of urban computing will come from grass-roots initiatives in addition to traditional top-down urban planning. To this end, we aim to engage the do-it- yourself (DIY) community in exploring how individuals can add technology to their communities. As design probes into this space, we have built prototype devices around off-the-shelf technology, open-ended interactions and simple engineering techniques familiar to the DIY community. Through evolving these devices with both the technical DIY community and Pittsburgh's local communities, we hope to spark citizen-led efforts in bringing novel applications of computing to our communities."
article,2732515,Paul  Dunphy and Johannes  Sch&#246;ning and James  Nicholson and Patrick  Olivier,,,,Captchat: A Messaging Tool to Frustrate Ubiquitous Surveillance,639--646,,8,"captchat, mobile messaging, privacy, ubiquitous surveillance",10.1145/2702613.2732515,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '15,,978-1-4503-3146-3,"Seoul, Republic of Korea",ACM,"New York, NY, USA","There is currently a widespread uncertainty regarding the ability of citizens to control privacy online in the face of ubiquitous surveillance. This is a huge and complex societal problem. Despite the multi-faceted nature of the problem, we propose that HCI researchers can still make a positive contribution in this space through the design of technologies that support citizens to engage with issues of surveillance. In this paper we describe the design of a messaging application called Captchat. Captchat enables people to send everyday messages embedded into images, with the added ability to apply visual distortions to the message to resemble an online CAPTCHA. We propose the chief benefit would be that Captchat messages (with potentially ""one-time"" distortions) can increase the difficulty for algorithms to index private messages and necessitate the involvement of much more costly human labor in the surveillance process. We developed a prototype and conducted a user study; the results suggest that people were likely to create Captchat messages that were difficult to index for an OCR package but still easy to understand by humans, even without explicit instructions to interact 'securely' with the application. While more work is still required to understand the limitations of Captchat, we hope it can open discussion on how HCI researchers can respond to the challenges faced from ubiquitous surveillance."
article,2479528,Caroline  Hummels and Ambra  Trotto,,,,Hephaestus and the Senses,2819--2820,,2,"creative tools, design, engagement, probes, skilful coping, skills, social innovation, transformative collaboration",10.1145/2468356.2479528,,,,,,,2013,,CHI '13 Extended Abstracts on Human Factors in Computing Systems,CHI EA '13,,978-1-4503-1952-2,"Paris, France",ACM,"New York, NY, USA","The need for transformative collaboration among cross-disciplinary stakeholders is becoming paramount since the complexity of designing (intelligent) systems, products and services has increased rapidly the last decade. Inspired by phenomenology, pragmatism and embodied cognition, we explore how we can use embodiment and skilful coping to connect people and to catalyse a constructive design ""conversation"" among people with different backgrounds (Hummels, 2012). During a two-weeks workshop with Master students at the Dept. of Industrial Design at the Eindhoven University of Technology, we developed six different interactive Engagement Probes: open, creative and playful tools aimed at engaging people in a design process more concrete and effective than a brainstorm session. These Engagement Probes have been validated in a five-hour workshop Hephaestus and the Senses, in which 80 participants from different background have used them as a mean to ignite their design process. Every team started to meet and getting to know each other in a playful way using their bodies through one of the Engagement Probes. Thereupon, they designed and prototyped in teams of 4-6 persons, an artefact for citizens to socially connect through their senses. The results of the workshop show that the Probes stimulate engagement, help people to get familiar and connect in a short period of time, and inspire and boost a design process with an emphasis on embodiment and tangibility (Trotto and Hummels, submitted)."
article,2685556,Elizabeth  Daly and Sheena  Erete and Rosta  Farzan and Gary  Hsieh and Cliff  Lampe and Claudia  Lopez and Andres  Monroy-Hernandez and Daniele  Quercia and Raz  Schwartz and Amy  Voida,,,,"Supporting Cities, Neighborhoods, and Local Communities with Information and Communication Technologies",277--281,,5,"activism, city, civic engagement, community, neighborhoods",10.1145/2685553.2685556,,,,,,,2015,,Proceedings of the 18th ACM Conference Companion on Computer Supported Cooperative Work &#38; Social Computing,CSCW'15 Companion,,978-1-4503-2946-0,"Vancouver, BC, Canada",ACM,"New York, NY, USA","Challenges of the local context such as encouraging civic engagement and facilitating collaboration to address local issues have motivated researchers and practitioners to explore the role of technologies in supporting life in cities, neighborhoods, and local communities. The goal of this workshop is to open a discussion on how to design, build and study ICT infrastructures and infrastructuring processes that contributes to this effort. We aim to create a publicly accessible repository of infrastructuring tools and to facilitate the cross-pollination of ideas about technology in local contexts among the researchers, practitioners, and residents interested in this area. At the workshop, participants will collaborate with Vancouver's residents and technology practitioners in order to explore the past, present, and future of research in this space; co- construct an infrastructuring tools repository; discuss key information challenges of local communities; and brainstorm solutions and opportunities to address them. Discussion and ideas generated will be archived online to be available to the larger research community and to local community advocates and activists."
