Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Smart cities in the new service economy: building platforms for smart services,AI & SOCIETY,,29,3,10.1007/s00146-013-0464-0,Ari-Veikko AnttiroikoPekka ValkamaStephen J. Bailey,2014,http://link.springer.com/article/10.1007/s00146-013-0464-0,Article
Community networks and the evolution of civic intelligence,AI & SOCIETY,,25,3,10.1007/s00146-009-0260-z,Douglas Schuler,2010,http://link.springer.com/article/10.1007/s00146-009-0260-z,Article
Space and Situated Cognition: Proceedings of the Sixth International Conference on Spatial Cognition (ICSC 2015),Cognitive Processing,,16,1,10.1007/s10339-015-0732-7,,2015,http://link.springer.com/article/10.1007/s10339-015-0732-7,Article
Big Data: A Survey,Mobile Networks and Applications,,19,2,10.1007/s11036-013-0489-0,Min ChenShiwen MaoYunhao Liu,2014,http://link.springer.com/article/10.1007/s11036-013-0489-0,Article
Policy makers’ perceptions on the transformational effect of Web 2.0 technologies on public services delivery,Electronic Commerce Research,,,,10.1007/s10660-015-9196-1,Manuel Pedro Rodríguez Bolívar,2015,http://link.springer.com/article/10.1007/s10660-015-9196-1,Article
From Publics to Communities: Researching the Path of Shared Issues Through ICT,Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-016-9252-y,Thomas LudwigChristian ReuterVolkmar Pipek,2016,http://link.springer.com/article/10.1007/s10606-016-9252-y,Article
A history of AI and Law in 50 papers: 25 years of the international conference on AI and Law,Artificial Intelligence and Law,,20,3,10.1007/s10506-012-9131-x,Trevor Bench-CaponMichał AraszkiewiczKevin AshleyKatie AtkinsonFloris BexFilipe BorgesDaniele BourcierPaul BourgineJack G. ConradEnrico FrancesconiThomas F. GordonGuido GovernatoriJochen L. LeidnerDavid D. LewisRonald P. LouiL. Thorne McCarty,2012,http://link.springer.com/article/10.1007/s10506-012-9131-x,Article
Understanding mass participatory pervasive computing systems for environmental campaigns,Personal and Ubiquitous Computing,,18,7,10.1007/s00779-013-0756-x,Alan ChamberlainMark PaxtonKevin GloverMartin FlinthamDominic PriceChris GreenhalghSteve BenfordPeter TolmieEiman KanjoAmanda GowerAndy GowerDawn WoodgateDanaë Stanton Fraser,2014,http://link.springer.com/article/10.1007/s00779-013-0756-x,Article
Factors influencing the decision to crowdsource: A systematic literature review,Information Systems Frontiers,,18,1,10.1007/s10796-015-9578-x,Nguyen Hoang ThuanPedro AntunesDavid Johnstone,2016,http://link.springer.com/article/10.1007/s10796-015-9578-x,Article
A framework for the ethical impact assessment of information technology,Ethics and Information Technology,,13,3,10.1007/s10676-010-9242-6,David Wright,2011,http://link.springer.com/article/10.1007/s10676-010-9242-6,Article
"Overview of BISE Articles Published in 2009, 2010, and 2011",Business & Information Systems Engineering,,3,1,10.1007/s12599-011-0191-3,,2011,http://link.springer.com/article/10.1007/s12599-011-0191-3,Article
Analyzing Political Activists’ Organization Practices: Findings from a Long Term Case Study of the European Social Forum,Computer Supported Cooperative Work (CSCW),,20,4 - 5,10.1007/s10606-011-9144-0,Saqib SaeedMarkus RohdeVolker Wulf,2011,http://link.springer.com/article/10.1007/s10606-011-9144-0,Article
Cloud computing in e-Science: research challenges and opportunities,The Journal of Supercomputing,,70,1,10.1007/s11227-014-1251-5,Xiaoyu YangDavid WallomSimon WaddingtonJianwu WangArif ShaonBrian MatthewsMichael WilsonYike GuoLi GuoJon D. BlowerAthanasios V. VasilakosKecheng LiuPhilip Kershaw,2014,http://link.springer.com/article/10.1007/s11227-014-1251-5,Article
Participative marketing: extending social media marketing through the identification and interaction capabilities from the Internet of things,Personal and Ubiquitous Computing,,18,4,10.1007/s00779-013-0714-7,Antonio J. JaraMaría Concepción ParraAntonio F. Skarmeta,2014,http://link.springer.com/article/10.1007/s00779-013-0714-7,Article
"Teaching style, ICT experience and teachers’ attitudes toward teaching with Web 2.0",Education and Information Technologies,,19,1,10.1007/s10639-012-9210-3,Ugur KaleDebbie Goh,2014,http://link.springer.com/article/10.1007/s10639-012-9210-3,Article
Employing online social networks to monitor and evaluate training of digital inclusion agents,Social Network Analysis and Mining,,3,3,10.1007/s13278-012-0093-5,Silvana Rossy de BritoAleksandra do Socorro da SilvaDalton Lopes MartinsNandamudi Lankalapalli VijaykumarCláudio Alex Jorge da RochaJoão Crisóstomo Weyl Albuquerque CostaCarlos Renato Lisboa Francês,2013,http://link.springer.com/article/10.1007/s13278-012-0093-5,Article
"Designing for reportability: sustainable gamification, public engagement, and promoting environmental debate",Personal and Ubiquitous Computing,,18,7,10.1007/s00779-013-0755-y,Peter TolmieAlan ChamberlainSteve Benford,2014,http://link.springer.com/article/10.1007/s00779-013-0755-y,Article
Service feature modeling: modeling and participatory ranking of service design alternatives,Software & Systems Modeling,,,,10.1007/s10270-014-0414-4,Erik WitternChristian Zirpins,2014,http://link.springer.com/article/10.1007/s10270-014-0414-4,Article
Collaborative systems development in disaster relief: The impact of multi-level governance,Information Systems Frontiers,,12,1,10.1007/s10796-009-9166-z,Edgar A. MaldonadoCarleen F. MaitlandAndrea H. Tapia,2010,http://link.springer.com/article/10.1007/s10796-009-9166-z,Article
"Smithsonian Team Flickr: a library, archives, and museums collaboration in web 2.0 space",Archival Science,,8,4,10.1007/s10502-009-9089-y,Martin R. KalfatovicEffie KapsalisKatherine P. SpiessAnne Van CampMichael Edson,2009,http://link.springer.com/article/10.1007/s10502-009-9089-y,Article
Agent and multi-agent applications to support distributed communities of practice: a short review,Autonomous Agents and Multi-Agent Systems,,25,1,10.1007/s10458-011-9170-9,Gilson Yukio SatoHilton José Silva de AzevedoJean-Paul A. Barthès,2012,http://link.springer.com/article/10.1007/s10458-011-9170-9,Article
Assessing e-Participation via user’s satisfaction measurement: the case of OurSpace platform,Annals of Operations Research,,,,10.1007/s10479-015-1911-8,Loukas KipenisDimitris Askounis,2015,http://link.springer.com/article/10.1007/s10479-015-1911-8,Article
Task assignment optimization in knowledge-intensive crowdsourcing,The VLDB Journal,,24,4,10.1007/s00778-015-0385-2,Senjuti Basu RoyIoanna LykourentzouSaravanan ThirumuruganathanSihem Amer-YahiaGautam Das,2015,http://link.springer.com/article/10.1007/s00778-015-0385-2,Article
"Supporting Scientific Collaboration: Methods, Tools and Concepts",Computer Supported Cooperative Work (CSCW),,22,4 - 6,10.1007/s10606-012-9184-0,Marina JirotkaCharlotte P. LeeGary M. Olson,2013,http://link.springer.com/article/10.1007/s10606-012-9184-0,Article
Development of a Construction Quality Supervision Collaboration System Based on a SaaS Private Cloud,Journal of Intelligent & Robotic Systems,,79,3 - 4,10.1007/s10846-014-0108-8,Yuping ChengYan ChenRan WeiHanbin Luo,2015,http://link.springer.com/article/10.1007/s10846-014-0108-8,Article
Technological research plan for active ageing,Information Systems Frontiers,,14,3,10.1007/s10796-011-9295-z,Hamideh AfsarmaneshSimon Samwel MsanjilaLuis M. Camarinha-Matos,2012,http://link.springer.com/article/10.1007/s10796-011-9295-z,Article
Social Networks and University Spaces. Knowledge and Open Innovation in the Ibero-American Knowledge Space,"RUSC, Universities and Knowledge Society Journal",,9,1,10.7238/rusc.v9i1.1100,Daniel Domínguez FigaredoJosé Francisco Álvarez Álvarez,2012,http://link.springer.com/article/10.7238/rusc.v9i1.1100,Article
Collaboration technology in teams and organizations: Introduction to the special issue,Information Systems Frontiers,,18,1,10.1007/s10796-016-9632-3,Gert-Jan de VreedePedro AntunesJulita VassilevaMarco Aurélio GerosaKewen Wu,2016,http://link.springer.com/article/10.1007/s10796-016-9632-3,Article
"Sociomaterial actors in the assimilation gap: a case study of web service, management and IT-assimilation",Information Systems and e-Business Management,,11,4,10.1007/s10257-012-0205-9,Klas GäreUlf Melin,2013,http://link.springer.com/article/10.1007/s10257-012-0205-9,Article
A web-based community-building archives project: a case study of Kids in Birmingham 1963,Archival Science,,15,4,10.1007/s10502-015-9246-4,Sonia YacoAnn JimersonLaura Caldwell AndersonChanda Temple,2015,http://link.springer.com/article/10.1007/s10502-015-9246-4,Article
"E-government implementation: A bird’s eye view of issues relating to costs, opportunities, benefits and risks",Information Systems Frontiers,,17,4,10.1007/s10796-013-9472-3,Vishanth WeerakkodyZahir IraniHabin LeeIbrahim OsmanNitham Hindi,2015,http://link.springer.com/article/10.1007/s10796-013-9472-3,Article
Information Sharing Among Disaster Responders - An Interactive Spreadsheet-Based Collaboration Approach,Computer Supported Cooperative Work (CSCW),,23,4 - 6,10.1007/s10606-014-9207-0,Athula GinigeLuca PaolinoMarco RomanoMonica SebilloGenoveffa TortoraGiuliana Vitiello,2014,http://link.springer.com/article/10.1007/s10606-014-9207-0,Article
A framework for cloud-based context-aware information services for citizens in smart cities,Journal of Cloud Computing,,3,1,10.1186/s13677-014-0014-4,Zaheer KhanSaad Liaquat KianiKamran Soomro,2014,http://link.springer.com/article/10.1186/s13677-014-0014-4,Article
Motivating participation in social computing applications: a user modeling perspective,User Modeling and User-Adapted Interaction,,22,1 - 2,10.1007/s11257-011-9109-5,Julita Vassileva,2012,http://link.springer.com/article/10.1007/s11257-011-9109-5,Article
Public sector engagement with online identity management,Identity in the Information Society,,3,3,10.1007/s12394-010-0079-2,D. Barnard-WillsD. Ashenden,2010,http://link.springer.com/article/10.1007/s12394-010-0079-2,Article
Creating health awareness: a social media enabled collaboration,Health and Technology,,4,1,10.1007/s12553-013-0068-1,Liette LapointeJui RamaprasadIsabelle Vedel,2014,http://link.springer.com/article/10.1007/s12553-013-0068-1,Article
Collective Intelligence in Organizations: Tools and Studies,Computer Supported Cooperative Work (CSCW),,21,4 - 5,10.1007/s10606-012-9165-3,Antonietta GrassoGregorio Convertino,2012,http://link.springer.com/article/10.1007/s10606-012-9165-3,Article
On the value of Second Life for students’ engagement in blended and online courses: A comparative study from the Higher Education in Greece,Education and Information Technologies,,20,3,10.1007/s10639-013-9294-4,Nikolaos PellasIoannis Kazanidis,2015,http://link.springer.com/article/10.1007/s10639-013-9294-4,Article
Stories for Hope–Rwanda: a psychological–archival collaboration to promote healing and cultural continuity through intergenerational dialogue,Archival Science,,14,3 - 4,10.1007/s10502-014-9232-2,David A. WallacePatricia PasickZoe BermanElla Weber,2014,http://link.springer.com/article/10.1007/s10502-014-9232-2,Article
From the internet of things to embedded intelligence,World Wide Web,,16,4,10.1007/s11280-012-0188-y,Bin GuoDaqing ZhangZhiwen YuYunji LiangZhu WangXingshe Zhou,2013,http://link.springer.com/article/10.1007/s11280-012-0188-y,Article
Communities: with open-source software towards a vivacious civil society,AI & SOCIETY,,,,10.1007/s00146-015-0595-6,Norbert Jesse,2015,http://link.springer.com/article/10.1007/s00146-015-0595-6,Article
A universal design resource for rich Internet applications based on design patterns,Universal Access in the Information Society,,13,2,10.1007/s10209-013-0291-6,Daniela FogliLoredana Parasiliti ProvenzaCristian Bernareggi,2014,http://link.springer.com/article/10.1007/s10209-013-0291-6,Article
"Reputation, inequality and meeting techniques: visualising user hierarchy to support collaboration",Computational and Mathematical Organization Theory,,20,2,10.1007/s10588-013-9165-y,Karin HanssonPetter KarlströmAron LarssonHarko Verhagen,2014,http://link.springer.com/article/10.1007/s10588-013-9165-y,Article
"The impact of computer self-efficacy, situational interest and academic self-concept in virtual communities of inquiry during the distance learning procedures through Second Life",World Wide Web,,17,4,10.1007/s11280-013-0266-9,Nikolaos PellasIoannis Kazanidis,2014,http://link.springer.com/article/10.1007/s11280-013-0266-9,Article
Human capabilities and information and communication technology: the communicative connection,Ethics and Information Technology,,13,2,10.1007/s10676-010-9260-4,William F. Birdsall,2011,http://link.springer.com/article/10.1007/s10676-010-9260-4,Article
Knowledge sharing for sustainable development in civil engineering: a systematic review,AI & SOCIETY,,27,4,10.1007/s00146-011-0369-8,Nicholas MeeseChris McMahon,2012,http://link.springer.com/article/10.1007/s00146-011-0369-8,Article
Turking in a Global Labour Market,Computer Supported Cooperative Work (CSCW),,25,1,10.1007/s10606-015-9241-6,David MartinJacki O’NeillNeha GuptaBenjamin V. Hanrahan,2016,http://link.springer.com/article/10.1007/s10606-015-9241-6,Article
From GPS and virtual globes to spatial computing - 2020,GeoInformatica,,19,4,10.1007/s10707-015-0235-9,Shashi ShekharSteven FeinerWalid G. Aref,2015,http://link.springer.com/article/10.1007/s10707-015-0235-9,Article
Web service platform for automatic generation of O/D matrix,EURASIP Journal on Wireless Communications and Networking,,2014,1,10.1186/1687-1499-2014-115,Luis Felipe Herrera-QuinteroKlaus BanseYeimmy Cañon-LozanoAngie Melo-CastilloCesar Augusto Gomez-Perilla,2014,http://link.springer.com/article/10.1186/1687-1499-2014-115,Article
Recommendations to support interaction with broadcast debates: a study on older adults’ interaction with The Moral Maze,AI & SOCIETY,,31,1,10.1007/s00146-014-0578-z,Rolando Medellin-GasqueChris ReedVicki L. Hanson,2016,http://link.springer.com/article/10.1007/s00146-014-0578-z,Article
How the Internet transformed the software industry,Journal of Internet Services and Applications,,2,1,10.1007/s13174-011-0019-x,Anthony I. Wasserman,2011,http://link.springer.com/article/10.1007/s13174-011-0019-x,Article
"Mainstreaming the e-excluded in Europe: strategies, good practices and some ethical issues",Ethics and Information Technology,,12,2,10.1007/s10676-009-9213-y,David WrightKush Wadhwa,2010,http://link.springer.com/article/10.1007/s10676-009-9213-y,Article
Bridging Identity Gaps—Supporting Identity Performance in Citizen Service Encounters,Computer Supported Cooperative Work (CSCW),,21,6,10.1007/s10606-012-9163-5,Nikolaj Gandrup BorchorstBrenda McPhailKaren Louise SmithJoseph FerenbokAndrew Clement,2012,http://link.springer.com/article/10.1007/s10606-012-9163-5,Article
Nature and roles for community networks in the information society,AI & SOCIETY,,25,3,10.1007/s00146-009-0261-y,Fiorella de CindioLaura Anna Ripamonti,2010,http://link.springer.com/article/10.1007/s00146-009-0261-y,Article
Learning and teaching with social network sites: A decade of research in K-12 related education,Education and Information Technologies,,,,10.1007/s10639-015-9446-9,Christine GreenhowEmilia Askari,2015,http://link.springer.com/article/10.1007/s10639-015-9446-9,Article
Web 2.0: Inherent tensions and evident challenges for education,International Journal of Computer-Supported Collaborative Learning,,4,3,10.1007/s11412-009-9066-8,Nina Bonderup Dohn,2009,http://link.springer.com/article/10.1007/s11412-009-9066-8,Article
Architectural Requirements for Cloud Computing Systems: An Enterprise Cloud Approach,Journal of Grid Computing,,9,1,10.1007/s10723-010-9171-y,Bhaskar Prasad RimalAdmela JukanDimitrios KatsarosYves Goeleven,2011,http://link.springer.com/article/10.1007/s10723-010-9171-y,Article
Successful design of learning solutions being situation aware,Education and Information Technologies,,21,1,10.1007/s10639-014-9311-2,Pia NiemeläVille IsomöttönenLasse Lipponen,2016,http://link.springer.com/article/10.1007/s10639-014-9311-2,Article
A roadmap for a dedicated Earth Science Grid platform,Earth Science Informatics,,3,3,10.1007/s12145-010-0045-4,Roberto CossuMonique PetitdidierJulian LinfordVincent BadouxLuigi FuscoBenoit GotabLadislav HluchyGiuditta LeccaFabrizio MurgiaCamiel PlevierPhilippe RenardHorst SchwichtenbergWim Som de CerffViet TranGerald Vetois,2010,http://link.springer.com/article/10.1007/s12145-010-0045-4,Article
Real-time emergency response: improved management of real-time information during crisis situations,Journal on Multimodal User Interfaces,,8,2,10.1007/s12193-013-0139-7,Jeffrey R. BlumAlexander EichhornSeverin SmithMichael Sterle-ContalaJeremy R. Cooperstock,2014,http://link.springer.com/article/10.1007/s12193-013-0139-7,Article
Flaming? What flaming? The pitfalls and potentials of researching online hostility,Ethics and Information Technology,,17,1,10.1007/s10676-015-9362-0,Emma A. Jane,2015,http://link.springer.com/article/10.1007/s10676-015-9362-0,Article
Designing convivial digital cities: a social intelligence design approach,AI & SOCIETY,,24,1,10.1007/s00146-009-0201-x,Patrice Caire,2009,http://link.springer.com/article/10.1007/s00146-009-0201-x,Article
Building Urban Narratives: Collaborative Site-Seeing and Envisioning in the MR Tent,Computer Supported Cooperative Work (CSCW),,21,1,10.1007/s10606-011-9152-0,Ina Wagner,2012,http://link.springer.com/article/10.1007/s10606-011-9152-0,Article
Surveillance in ubiquitous network societies: normative conflicts related to the consumer in-store supermarket experience in the context of the Internet of Things,Ethics and Information Technology,,16,1,10.1007/s10676-013-9332-3,Jenifer Sunrise Winter,2014,http://link.springer.com/article/10.1007/s10676-013-9332-3,Article
The Future of Adaptive Learning: Does the Crowd Hold the Key?,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-016-0094-z,Neil T. HeffernanKorinn S. OstrowKim KellyDouglas SelentEric G. Van InwegenXiaolu XiongJoseph Jay Williams,2016,http://link.springer.com/article/10.1007/s40593-016-0094-z,Article
Image City sharing platform and its typical applications,Science China Information Sciences,,54,8,10.1007/s11432-011-4307-7,ZhenFeng ShaoDeRen Li,2011,http://link.springer.com/article/10.1007/s11432-011-4307-7,Article
U-cities reshaping our future: reflections on ubiquitous infrastructure as an enabler of smart urban development,AI & SOCIETY,,28,4,10.1007/s00146-013-0443-5,Ari-Veikko Anttiroiko,2013,http://link.springer.com/article/10.1007/s00146-013-0443-5,Article
A systematic review on multi-device inclusive environments,Universal Access in the Information Society,,,,10.1007/s10209-015-0422-3,Ig Ibert BittencourtMaria Cecília BaranauskasRoberto PereiraDiego DermevalSeiji IsotaniPatrícia Jaques,2015,http://link.springer.com/article/10.1007/s10209-015-0422-3,Article
Lessons learned from applying social network analysis on an industrial Free/Libre/Open Source Software ecosystem,Journal of Internet Services and Applications,,6,1,10.1186/s13174-015-0028-2,Jose TeixeiraGregorio RoblesJesús M. González-Barahona,2015,http://link.springer.com/article/10.1186/s13174-015-0028-2,Article
Smart Citizens: Exploring the Tools of the Urban Bottom-Up Movement,Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-016-9249-6,Sabine NiedererRuurd Priester,2016,http://link.springer.com/article/10.1007/s10606-016-9249-6,Article
An architecture for integrated intelligence in urban management using cloud computing,"Journal of Cloud Computing: Advances, Systems and Applications",,1,1,10.1186/2192-113X-1-1,Zaheer KhanDavid LudlowRichard McClatcheyAshiq Anjum,2012,http://link.springer.com/article/10.1186/2192-113X-1-1,Article
What electronic health records don’t know just yet. A privacy analysis for patient communities and health records interaction,Health and Technology,,2,3,10.1007/s12553-012-0026-3,Kim WuytsGriet VerhennemanRiccardo ScandariatoWouter JoosenJos Dumortier,2012,http://link.springer.com/article/10.1007/s12553-012-0026-3,Article
Social networks and online environments: when science and practice co-evolve,Social Network Analysis and Mining,,1,1,10.1007/s13278-010-0011-7,Devan RosenGeorge A. BarnettJang Hyun Kim,2011,http://link.springer.com/article/10.1007/s13278-010-0011-7,Article
"A general perspective of Big Data: applications, tools, challenges and trends",The Journal of Supercomputing,,,,10.1007/s11227-015-1501-1,Lisbeth Rodríguez-MazahuaCristian-Aarón Rodríguez-EnríquezJosé Luis Sánchez-CervantesJair CervantesJorge Luis García-AlcarazGiner Alor-Hernández,2015,http://link.springer.com/article/10.1007/s11227-015-1501-1,Article
The firekeepers: aging considered as a resource,Universal Access in the Information Society,,11,1,10.1007/s10209-011-0229-9,John M. CarrollGregorio ConvertinoUmer FarooqMary Beth Rosson,2012,http://link.springer.com/article/10.1007/s10209-011-0229-9,Article
Ethical considerations in an online community: the balancing act,Ethics and Information Technology,,15,4,10.1007/s10676-013-9315-4,Cecile ParisNathalie ColineauSurya NepalSanat Kumar BistaGina Beschorner,2013,http://link.springer.com/article/10.1007/s10676-013-9315-4,Article
Accessibility and interoperability in e-government systems: outlining an inclusive development process,Universal Access in the Information Society,,9,1,10.1007/s10209-009-0157-0,Rodrigo BonacinAmanda M. MeloCarlos A. C. SimoniM. Cecília C. Baranauskas,2010,http://link.springer.com/article/10.1007/s10209-009-0157-0,Article
Self-assessed and actual Internet skills of people with visual impairments,Universal Access in the Information Society,,13,2,10.1007/s10209-013-0304-5,Thea van der GeestHans van der MeijCarolina van Puffelen,2014,http://link.springer.com/article/10.1007/s10209-013-0304-5,Article
Bridging research and practice: Implementing and sustaining knowledge building in Hong Kong classrooms,International Journal of Computer-Supported Collaborative Learning,,6,2,10.1007/s11412-011-9121-0,Carol K. K. Chan,2011,http://link.springer.com/article/10.1007/s11412-011-9121-0,Article
More than modelling and hiding: towards a comprehensive view of Web mining and privacy,Data Mining and Knowledge Discovery,,24,3,10.1007/s10618-012-0254-1,Bettina Berendt,2012,http://link.springer.com/article/10.1007/s10618-012-0254-1,Article
The e-volution of the i-society in the delivery of e-government,AI & SOCIETY,,25,3,10.1007/s00146-010-0288-0,Wallace J. TaylorStewart MarshallShahram Amiri,2010,http://link.springer.com/article/10.1007/s00146-010-0288-0,Article
A linked open data based system utilizing structured open innovation process for addressing collaboratively public concerns in regional societies,Applied Intelligence,,44,1,10.1007/s10489-015-0704-8,Teemu TossavainenShun ShiramatsuTadachika OzonoToramatsu Shintani,2016,http://link.springer.com/article/10.1007/s10489-015-0704-8,Article
Measuring Twitter-based political participation and deliberation in the South Korean context by using social network and Triple Helix indicators,Scientometrics,,90,1,10.1007/s11192-011-0508-5,Minjeong KimHan Woo Park,2012,http://link.springer.com/article/10.1007/s11192-011-0508-5,Article
Breaking the filter bubble: democracy and design,Ethics and Information Technology,,17,4,10.1007/s10676-015-9380-y,Engin BozdagJeroen van den Hoven,2015,http://link.springer.com/article/10.1007/s10676-015-9380-y,Article
Creating a model of the dynamics of socio-technical groups,User Modeling and User-Adapted Interaction,,23,4,10.1007/s11257-012-9122-3,Sean P. GogginsGiuseppe ValettoChristopher MascaroKelly Blincoe,2013,http://link.springer.com/article/10.1007/s11257-012-9122-3,Article
Educational Networks 2.1,"RUSC, Universities and Knowledge Society Journal",,8,1,10.7238/rusc.v8i1.965,Diego Levis,2011,http://link.springer.com/article/10.7238/rusc.v8i1.965,Article
Public preferences for engagement in Health Technology Assessment decision-making: protocol of a mixed methods study,BMC Medical Informatics and Decision Making,,15,1,10.1186/s12911-015-0176-0,Sally WortleyAllison TongEmily LancsarGlenn SalkeldKirsten Howard,2015,http://link.springer.com/article/10.1186/s12911-015-0176-0,Article
An examination of the Internet’s development as a disabling environment in the context of the social model of disability and anti-discrimination legislation in the UK and USA,Universal Access in the Information Society,,12,1,10.1007/s10209-011-0268-2,Catherine Easton,2013,http://link.springer.com/article/10.1007/s10209-011-0268-2,Article
Distributing attention across multiple social worlds,AI & SOCIETY,,25,2,10.1007/s00146-009-0251-0,Renate FruchterMarisa Ponti,2010,http://link.springer.com/article/10.1007/s00146-009-0251-0,Article
Crowdsourcing and cloudsourcing CCTV surveillance,Datenschutz und Datensicherheit - DuD,,37,7,10.1007/s11623-013-0173-3,Burkhard Schafer,2013,http://link.springer.com/article/10.1007/s11623-013-0173-3,Article
Knowledge spaces on the internet and Semantic Web (part 1),Scientific and Technical Information Processing,,37,6,10.3103/S0147688210060079,V. F. Khoroshevskii,2010,http://link.springer.com/article/10.3103/S0147688210060079,Article
Big Board: Teleconferencing Over Maps for Shared Situational Awareness,Computer Supported Cooperative Work (CSCW),,23,1,10.1007/s10606-013-9191-9,Jefferson HeardSidharth ThakurJessica LosegoKen Galluppi,2014,http://link.springer.com/article/10.1007/s10606-013-9191-9,Article
Raising and Rising Voices in Social Media,Business & Information Systems Engineering,,4,3,10.1007/s12599-012-0210-z,Nitin AgarwalMerlyna LimRolf Wigand,2012,http://link.springer.com/article/10.1007/s12599-012-0210-z,Article
A Hyperlink-based Model for the Management of Teaching Documents in a University Centre,International Journal of Educational Technology in Higher Education,,9,2,10.7238/rusc.v9i2.1332,Francisco A. OcañaAna del Moral García,2012,http://link.springer.com/article/10.7238/rusc.v9i2.1332,Article
Health communication in primary health care -A case study of ICT development for health promotion,BMC Medical Informatics and Decision Making,,13,1,10.1186/1472-6947-13-17,Amina Jama MahmudEwy OlanderSara EriksénBo JA Haglund,2013,http://link.springer.com/article/10.1186/1472-6947-13-17,Article
"What’s mine is mine; what’s yours is mine: private ownership 
of ICTs as a threat to transparency",Ethics and Information Technology,,11,2,10.1007/s10676-009-9196-8,Ronnie CohenJanine S. Hiller,2009,http://link.springer.com/article/10.1007/s10676-009-9196-8,Article
A content citizen health management system: a tele-health and tele-care prototype portal for the public,Health and Technology,,2,1,10.1007/s12553-012-0018-3,Stella C. ChristopoulouJohn L. Papoutsis,2012,http://link.springer.com/article/10.1007/s12553-012-0018-3,Article
Alert based disaster notification and resource allocation,Information Systems Frontiers,,12,1,10.1007/s10796-009-9165-0,Dickson K. W. ChiuDrake T. T. LinEleanna KafezaMinhong WangHaiyang HuHua HuYi Zhuang,2010,http://link.springer.com/article/10.1007/s10796-009-9165-0,Article
Achieving better usability of software supporting learning activities of large groups,Information Systems Frontiers,,18,1,10.1007/s10796-015-9580-3,Nelson BaloianGustavo Zurita,2016,http://link.springer.com/article/10.1007/s10796-015-9580-3,Article
Situational awareness in smart environments: socio-mobile and sensor data fusion for emergency response to disasters,Journal of Ambient Intelligence and Humanized Computing,,6,2,10.1007/s12652-014-0227-x,Gian Luca ForestiManuela FarinosiMarco Vernier,2015,http://link.springer.com/article/10.1007/s12652-014-0227-x,Article
Reconstructing civil society with intermedia communities,AI & SOCIETY,,25,3,10.1007/s00146-009-0262-x,Aldo de Moor,2010,http://link.springer.com/article/10.1007/s00146-009-0262-x,Article
