"","DocumentTitle","Year","Abstract","PDF_Link"
"11","CIO for governing innovation in information society - case study: Educating Green ITS at university in Japan",2009,"E-Governance, as defined by United nations is Â¿the public sector's use of ICT with the aim of improving information and service delivery, encouraging citizen participation in the decision-making process and making government more accountable, transparent and effectiveÂ¿. It can also be described as the process of forming relationships among stakeholders in order to achieve common consensus for education which can lead to increased citizen engagement and participation, strengthening electronic governance. As a case study, the focus point of this research is on the activities of CIOs for ITS specifically on the issue on transformation of an innovative service platform of e-governance for Green ITS education under the Information/Eco-mobility Society. I conclude that core competencies in CIOs for Green ITS are of prime importance to the development of innovative solutions in various levels of ITS. There are lots of common issues and activities in implementing both engineering and socio-economic programs, especially for strategic plans and contents of services and applications prepared for Green ITS. As innovative CIO, ITS as e-gov public policy for reducing pollution, traffic jam and accidents is very important sector.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5397319"
"12","Big data framework for national E-governance plan",2013,"The world is moving towards digitization. In India central and state governments are steadily moving towards digitizing all the government departments, scheme and services. Due to the awareness of people and availability of network access that emerges, use of E-governance application has increased. As a result data is getting added and size of these data is increasing exponentially day after day - Volume. Semi-structured and Un-structured data from E-governance service like computerization of land records, Patient health records are most often in the form of electronic records. Processing and sharing of these records are difficult by traditional approach - Variety. Defense, crime and police service control the ever-increasing threats of terror attacks and of continually ascending crime graphs. It includes aspects such as creation of- and sharing of- crime-relate real time data - Velocity. Gathering and processing of vast amounts of data is not new. What is new is the speed at which one can process that data and extracting actionable business intelligence or mission critical from messy data - Complexity. Open source big data technology - No-SQL databases, Hadoop and MapReduce are used to handle these large volumes and heterogeneous data. In this paper we present the model that illustrates how big data can result in the transformation of the government by increased efficiency and effectiveness in the e-governance service with citizen engagement in decision making.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6756283"
"13","Developing a Smart City Model that Ensures the Optimum Utilization of Existing Resources in Cities of All Sizes",2013,"The concept of Smart Cities is currently gaining high popularity among city authorities around the world while attracting leading companies to collaborate with government bodies as it is now moving from pilot projects and towards creating high business value. Though the existing literature provides evidence for various attempts made in defining the term Smart City and in developing models for the realization of Smart Cities, they are largely focusing on heavily digitized cities with well-established infrastructure. Therefore this paper attempts to address the unattended need of developing a Smart City model that could equally be applied to small and emerging cities especially in developing countries, with the aim of optimizing the utilization of existing city resources. Maslow's hierarchy of needs serves as the base on which the model is developed and the associated cyclic behavior is due to the emphasis placed on the participation of citizens in city governance through their feedback which is further inspired by the advent of new technologies including web 2.0 technologies. Universal design is integrated to the model further making the cities accessible and livable for all.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6603502"
"14","India focus [Power Cop 15 India]",2009,"The latest in our series of reports from the emerging countries that will be vital to achieving an agreement at the climate change conference in Copenhagen. India is tackling climate change with the National Action Plan on Climate Change (NAPCC). The stated objective of this policy is to establish an effective, cooperative and equitable global approach based on the principle of common but differentiated responsibilities and relative capabilities; to identify measures that promote development objectives while yielding co-benefits for climate change. The plan was developed by a special council appointed by the Prime Minister in 2007. The Council includes ministers, government officials, scientists, civil society and business, but has met infrequently. As of 2009, strategies to advance the eight missions identified in the plan are being developed by ministries, agencies and consultants. The need for further stakeholder engagement has been recognised. Many programmes in the NAPCC have been underway for some time, but it is not always clear how the plan will build or expand on these existing programmes. The council are also proposing to revisit many difficult or stalled policy and regulatory reform processes. However, proposed programmes to significantly expand solar power are new; energy efficiency mission implementation involves significant new programmes.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5383191"
"15","Identification and prioritization of stakeholders in the planning process of sustainable development of the smart city",2015,"The article analyzes stakeholders in the city, conducted in order to identify organisations of particular value to the creation and delivery of the sustainable energy policy for smart cities i.e. enhanced Sustainable Energy Action Plan (SEAP). Using the information gathered in the stakeholder analysis, Riga, the capital of Republic of Latvia, has created a stakeholder engagement plan to gather and coordinate the key stakeholders' resources and knowledge for the benefit of the city, and for the development, implementation, monitoring and ongoing revision of the energy policy for the smart city i.e. SEAP. Different approaches to stakeholder communication and engagement planning have been used, based on specific city context, including history of engagement and current plans and ambitions. Riga stakeholders have been identified and prioritised using a matrix tool, allowing stakeholders to be grouped according to their importance for the enhanced SEAP and level of interest or engagement in the city. Riga has completed public consultation roundtables on its enhanced SEAP. Key stakeholders and their groups that have been identified include academia, local and regional administrations, industry and commerce, finance, energy suppliers and citizens. Riga working to engage all relevant stakeholder groups to help them move towards smart city status - including information and communication technology (ICT) partners, innovation bodies and international companies - in the process of developing and implementing the enhanced SEAP. As a result the city is making connections between players of energy, transport and ICT and increasing their role in CO2 emissions' reduction, and recognising opportunities of cross-sectoral actions and transfer of the best practice projects in synchrony with relevant local stakeholders, international companies and banks to roll out innovative sustainable energy solutions at a scale. Gaps in current stakeholder communication have also been identified,- including insufficient recognition of job creation potential by engaging employment agencies, closer engagement with the transport sector companies, ensuring sufficient citizens' engagement, and building on existing relationships with ICT players. Riga has developed communication tools and stakeholder engagement plan based on analysis of the know-how and resources held by each of the stakeholders or their groups and their role in, and potential impact on the SEAP. With increasingly limited local authority resources for communication with stakeholders, usual methods and channels, based on ICT including newsletters, and emails, social media, have been prioritised in order to secure information flow and feedback from stakeholders.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7397229"
"16","Gaming for (Citizen) Science: Exploring Motivation and Data Quality in the Context of Crowdsourced Science through the Design and Evaluation of a Social-Computational System",2011,"Citizen Sort, currently under development, is a web-based social-computational system designed to support a citizen science task, the taxonomic classification of various insect, animal, and plant species. In addition to supporting this natural science objective, the Citizen Sort platform will also support information science research goals on motivation for participation in social-computation and citizen science. In particular, this research program addresses the use of games to motivate participation in social-computational citizen science, and explores the effects of system design on motivation and data quality. A design science approach, where IT artifacts are developed to solve problems and answer research questions is described. Research questions, progress on Citizen Sort planning and implementation, and key challenges are discussed.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6130727"
"17","E-Catalunya Experience Report (July 2009)",2009,"This article describes the experience related with the e-Catalunya platform, a social network and Web 2.0 collaborative environment developed in Catalonia (Spain) in order to improve the transparency of administration and government and to increase participation of citizens. The platform is being continuously improved, offering a set of collaboration tools and a powerful administration environment that makes it easy to configure to suit the different collectives' needs. The e-Catalunya platform is a key element in the strategy of the Catalan government towards providing Web 2.0 based services and to boost communities of practice.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368434"
"18","eGovernment Ontologies: Social Participation in Building and Evolution",2010,"eGovernment has the aim of developing computer-based solutions to support the interaction of citizens with the public institutions and, more in general, to improve their participation in the public and social life. Semantic technologies, used to develop advanced eGovernment solutions, require eGovernment ontologies. The latter, to be effective, must be built within a participative, social process. Such a socially participative method must be adopted also in later phases, when the ontology needs to be periodically updated and maintained. In this paper we present the SOBE (Social Ontology Building and Evolution) Methodology, based on a clearly defined social process, with clearly defined intermediate steps, actors and roles, and outcomes produced.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428280"
"19","Political Participation and Democracy in the Information Age: Effects of ICT-Based Communication Forms between the Authorities and the Citizens on Traditional Channels of Participation and Democracy",2009,"The main trends concerning the traditional channels of participation are reduced voting turnout, reduced participation in political parties, stable participation in associations and increased citizen contact. The influence of ICT based form of communication on the relations between the authorities and the citizens are heavily influenced by the role of the citizens designed by the authorities. If the citizens are treated as customers the authorities are pursuing a consultative model focusing on creating an effective administration. The flow of information is unilinear; however, if the role of the citizens is a citizenpsilas role the administrative system pursue a participatory model. The information society produces frames of actions for the society, yet it is the role planned for the citizens that create the opportunities for E-Democracy. Based on these interaction models we assume effects on turnout in elections and on citizenspsila role and activity in traditional channels. This paper is a theoretical contribution.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4782849"
"20","Enhancing citizens'environmental awareness through the use of a mobile and pervasive urban computing system supporting smart transportation",2014,"This paper investigates the potential of mobile communication systems to support informal learning about the concept of sustainability within the urban realm. Firstly, it outlines a brief overview of the design approaches followed in various implementations in terms of communicating and educating citizens over environmental issues, as well as the methodologies employed to achieve user engagement. Furthermore, the paper presents the design and evaluation of an application that sought to promote a more environmentally conscious urban mobility paradigm, via the provision of advanced transportation services in a Smart City context.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7011163"
"21","A case study of service learning and civic engagement for mechatronics engineering students through a course project",2013,"This paper presents a case study of integrating a service learning project into an undergraduate Mechatronics engineering course titled “Building Automation” for the first time at the Hashemite University in Jordan. The project requires students to visit hospitals to learn about a variety of building systems that they have come across during their course lectures. After grasping the operating principles of building systems available in hospitals, students are required to brainstorm and suggest innovative ideas on how to reduce energy consumption based on tips and hints provided by the instructor and specialized consultants in the field of energy. Students achievement in this project was obtained, through their academic supervisor, their energy consultants, their community partners (hospital personnel), and students reflection on their experience. This paper presents qualitative analysis of integrating service learning and civic engagement in this course, explained the benefits, challenges, and recommendations for future implementation.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6547381"
"22","DDNM: Monitoring Environment Noise Using Smart Phones",2013,"Noise pollution affects human health in urban areas. A noise map facilitates monitoring of environmental noise pollution. It can promote citizens' awareness of noise pollution, and aid in the planning of urban area. However, state-of-the-art techniques for rendering noise maps by special equipment are expensive in urban areas. In this paper, we present the design, implementation and preliminary testing results of an environment noise monitoring system called DDNM (Day Day Noise Monitor). DDNM is based on smart phones and the public participation, can be leveraged to create an open and inexpensive platform for rendering up-to-date noise maps. We implement DDNM on HTC g18 8G smart phones and Huawei C8812E 4G smart phones. The outdoor experiments demonstrate that DDNM is a feasible platform to assess noise pollution and provide an accurate noise map for the public.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6657926"
"23","Methodology for developing ICT based course material for children with a developmental disability based on EPISODE",2015,"Education curricula for children with developmental disabilities have attempted to include information and communication technology (ICT) teaching materials. However, such children demonstrate individual differences at the developmental stage of their cognitive faculties. Thus, it is difficult to adopt commercially available ICT teaching materials when working with them. In this study, we introduce the concept of inclusive design in the implementation of ICT teaching materials for children with developmental disabilities. Inclusive design allows for the participation of the elderly as well as those with disabilities at the early stages of development and can be used to identify special needs associated with the development. In addition to ICT teaching materials, the use of Extreme Programming Method for Innovative Software Based on Systems Design (EPISODE), which has agile development and innovation techniques at its core, has been proposed. Therefore, in this study, we attempt to develop a method comprising inclusive design and EPISODE to develop ICT teaching materials. Finally, we report on the practice of developing ICT teaching materials for children with developmental disabilities.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7281982"
"24","Conceptual model of citizen's intention associated to e-government and internet behavior: Why do Bandung citizens follow the Mayor's social media?",2015,"Electronic government (e-government) has begun to supplement, replace and restructure conventional system for public services delivering process. Basically, the success of the e-government implementation is depending on the government support and high willingness of citizens to accept then adopt it. User of e-government can obtain benefits such as better access to information, efficiency, citizen participation, reducing cost, accountability and transparency value in delivering public services. In actualizing citizen participation, government can create social media technologies that facilitate two direction dialogue and conversation timeless. For instance, mayor of Bandung city, Ridwan Kamil, who active in social networking sites (SNS) such as Facebook, Twitter, Youtube and Instagram to report and capture what he and his government adjust based on determined programs. Large Bandung citizens follow and enjoy his status, report and photos on social media then become an important factor that influence their intent to use the social media as the main resource to get the government's report. Their intentions then create a behavior to participate on e-government. This way became a breakthrough initiative in attempting an open government as the form of services process in public. Research discuss regarding on citizen participation related to member government social media based on user perspective is rarely. Therefore, this research is conceptual model which aims to present what the factors of Bandung citizen's intention to follow the Mayor's social media. In crafting model, this research adopted Theory of Planned Behavior (TPB) approach as nearest theory regards on intention and behavior on technology using (include social media using behavior). This research used descriptive method by analyzing secondary data then proposes factors to present a complete model. This research is expected the basis for future research confirms the model by doing empirical study directly - o Bandung citizens in term of the social media using behavior.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7231447"
"25","e-Consultation: Automatic system for online consultations",2015,"Global ICT services give the opportunity to construct communication platform for online consultations where ordinary citizens, different civic and business associations and executive bodies could contribute by exchanging information using communication network. Initiated by governing institutions or government bodies and non-state actors online consultations differ in goals, approaches, range of target groups, scope of topics and in the use of technical tools. The benefits are clearly recognized, for example online consultations promote the central regulatory objectives by providing the regulator with valuable input from industry members and other stakeholders and help to maintain a transparent regulatory environment. Public consultations therefore help regulators to make knowledgeable decisions. However, current online consultation practice in global area falls short of the potential. Coordination of the online consultation service by common, general purpose tools causes excessive wait times for answers, inefficient communication between experts, limited visibility of document sections and related information, which cause decreased access to public consultations, insufficient number of responses and in general weak participation level. We propose the model of automatic platform for online consultations. Proposed model cover all stages and relevant elements of public consultation procedures. The model is realized as network service and covers complete public consultation life cycle, i.e. starting the discussion, entering associated documents, amendments and comments, section analysis, decision-making and archiving. Novelty of the model presents core implementation in the form three-dimensional state matrix that covers consultation life cycle, time constraints, groupings, section segmentation, amendments association, etc. Commercial version of this model is deployed in Croatian regulatory authority for network industries.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7231215"
"26","Supporting citizen-centered care for seniors - experiences from two Swedish research projects",2012,"The development of information and communication technology (ICT) for citizen-centered care requires insight into concrete problems in care processes as well as an understanding of the goals and values that should guide these. In this retrospective study we return to results from two research projects focusing on the needs of senior citizens and stroke patients. We describe the intersections between health care services, social care services and private services, and analyze these with focus on the needs of independence, continuity and participation. The current state of ICT in relation to the identified needs is also addressed. In conclusion, an increasing number of solutions are available to support senior citizens in different parts of their lives, yet they remain isolated and have limited impact. In order to harness value for senior citizens, it is imperative to continue with multidisciplinary research focusing on socio-technical aspects; addressing technological, organizational, legal and business-related aspects.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6266377"
"27","Role of Information Systems Architecture in e-governance: The case of watershed management in India",2011,"India is basically an agrarian economy having more dependency on rain-fed agriculture practices. Infrastructures like watershed structures are therefore, important components in the overall planning process. Watershed management through an appropriate governance structure with active participation from all stakeholders for sustainable use of resources has been an issue before planners. Indian rural development scenario has always remained a challenge having various political, administrative and social dimensions in the overall spectrum of governance. However, NeGP and UIDAI have created an opportunity to have “convergence” of various services. Studying convergence is a complex phenomenon and needs a careful “architectural treatment”. This paper considers watershed management to be an ideal case for architectural treatment with respect to NeGP having focus on citizen interfaces through e-governance. The paper takes inputs from guidelines formulated for the “Watershed Management”, an open document for the study through a framework.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5746103"
"28","ICT for Governance and Policy Modelling: Research Challenges and Future Prospects in Europe",2012,"As the role of government in the society is undergoing continuous change, consensus is starting to build around the potential that collaborative technologies have in the field of governance and policy modeling. For effective citizen empowerment and participation to become mainstream, at a greater scale, several challenges will have to be faced, which will require new tools to be developed. The research questions underlying the present paper are: which new ICT-enabled governance models and methods of monitoring, interaction, collaboration for policy making and enforcement are emerging, and which policy modelling mechanisms can be implemented in order to effectively involve citizens in decision making? The paper starts addressing these issues by defining the problem statement and discussing the changing role of the government in the Information Society, also proposing some elements for a conceptualisation of ICT for governance and policy modelling. It further presents the evolving debate on the e-Government and e-Governance agenda developments, as well as the state of the art and the limitations of research in these fields. Main emerging trends and future prospects within the evolving public sector are then anticipated in order to draw some preliminary conclusions outlining the challenges ahead and future research in the field of ICT for governance and policy modelling.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6149314"
"29","Ethical concerns of twitter use for collective crisis response",2011,"Previous research on disasters and crises has shown that, in some cases, citizens from affected communities collectively participate in emergency response. Social media technologies now provide local and even non-local citizens an additional means for collective response. By using social media technologies, including Twitter, distributed citizens can generate and disseminate their own crisis-related information to a wide audience bypassing official communications. Researchers have found that citizens use Twitter for information production, broadcasting, brokering, and organization during violent crises [1-2] and natural disasters [3-6]. Although the information behaviors have been analyzed, ethical considerations have yet to be addressed. The dissertation research will focus on the citizen use of Twitter in response to violent crises and the associated ethical concerns of this participation. The dissertation proposal is only in the beginning stage of development. Therefore, this extended abstract only represents preliminary ideas.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5928746"
"30","On the (in)effectiveness of the Share/Tweet button: A study in the context of idea management for civic participation",2016,"The authors study the practice of promoting idea campaigns in social networks via the well-known Share/Tweet button. They analyze data about 53 civic participation initiatives collected from IdeaScale, one of the leading online idea management platforms today, and unveil a considerable misconception about the effectiveness of the practice. The article highlights open challenges and suggests a set of alternative techniques to leverage on the ideation capacity of social networks.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7412631"
"31","Introduction to the Transformational Government Minitrack",2014,"Initially, e-Government was considered a solely technical phenomenon. However, in the last few years, research on this topic clearly showed its multidimensional nature and identified the importance of acknowledging strategic, political, managerial, organizational, and external relationship factors to understand and explain the transformation of government enabled by Information and Communication Technologies (ICTs). This mini-track examines the complexity of effectively managing e-Government and its transformational potential. Increasingly, this involves inter-organizational collaboration and the management of relationships with citizens, businesses, and other stakeholders. Transformational government is a rapidly evolving concept focused on ICT-enabled fundamental changes in the structure, functions, processes, and external relationships of government. Although the meaning of transformed government is still unclear, practical examples of transformational government involve innovative forms of public service provision through a variety of digital channels, new forms of back-office integration and joint-up government, digital engagement using social media, and new forms of open government and open public data. The aims for governments around the world to achieve transformational government are multiple and varied: they include increased efficiency, enhanced effectiveness, better coordination across government, good governance through increased transparency and accountability, increased citizen trust or even empowerment, improved public decision-making, and modernizing government. This mini-track is one of the key international platforms at which the transformational aspects of e-Government, as well as their implications for government, citizens and society, are being discussed from a multidisciplinary perspective. It welcomes papers with an empirical, theoretical, or conceptual contribution that show the importance of strategic, political, institutional, managerial,- organizational, and democratic factors in managing transformational e-Government. This year's mini-track attracted seven paper submissions from which three were selected for presentation at the conference.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6758881"
"32","Work in progress - STAIRSTEP - a program for expanding the student pipeline",2009,"This paper introduces Lamar University's Students Advancing through Involvement in Research Student Talent Expansion Program (STAIRSTEP), which is designed to increase the number of U. S. citizens receiving undergraduate degrees in science disciplines including computing, mathematics, physics, chemistry, geology and earth science. STAIRSTEP uses the experience gathered from two successful programs in computer science for student retention and recruiting of women and underrepresented minorities at Lamar University. STAIRSTEP expands these efforts by including several science disciplines and addressing a broader population of talented `at risk' students. STAIRSTEP adopts recognized strategies from the literature for increasing participation in Science, Technology, Engineering and Mathematics (STEM). It is innovative in the way it puts this research into practice. This paper describes the STAIRSTEP approach, its expected results, evaluation plan, and current status.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5350566"
"33","Introduction to Open Government and Participation Minitrack",2013,"Open government is an approach that purposefully emphasizes and re-invigorates the basic principle of a ""government of the people, for the people, and by the people"". As e-Government becomes more ubiquitous, many questions arise about the development and maintenance of open and transparent government, citizen engagement in participatory government, notions of governance through transparency initiatives, co-design of open and collaborative government, and how governments and governmental institutions might be influenced through open government and transparency efforts. This year the Open Government and Participation minitrack includes six papers that reflect considerable geographical and methodological diversity.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480065"
"34","Experiences in Creating Inclusive Information and Communications Technologies (IICT): Democratizing Software Development in Social Development",2012,"Crowd sourcing, citizen journalism and social networks are Information and Communications Technologies (ICT) that have ushered in civil society's participation in the ICT equation. However, the participation of civil society has been limited to creating content and, to some extent, capturing data about events around the community. An area that has been neglected is the inclusion of these new players in the software development life cycle. Democratizing software development by including civil society in the software development life cycle will increase the variety of software applications and generate more buy-in of applications that improve livelihoods. Such an approach will lead to the emergence of Inclusive Information and Communication Technologies (IICT). The challenges that arise when developing IICTs include, inter alia, ownership of IICT, computer illiteracy of beneficiary communities, balkanized nature of communities in place and the well-known challenge of the communication gap between software developers and user communities. My approach to addressing these challenges was to develop the Integrated Development Spatial Planning Framework (IDSPF), a systems development methodology that seeks to demystify software development for grassroots communities by using participatory techniques that are familiar to stakeholders who implement socio economic development projects.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6597847"
