Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
"Open Data, Crowdsourcing and Game Mechanics. A case study on civic participation in the digital age",Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-016-9250-0,Reinhard A. HandlerRaul Ferrer Conill,2016,http://link.springer.com/article/10.1007/s10606-016-9250-0,Article,"The aim of this paper is to shed light on the dynamics of civic participation, media agency, and data practices. To do so we analyse an investigative journalism story run by The Guardian that combined open data, crowdsourcing and game mechanics with the purpose of engaging readers. The case study highlights how data can be made accessible to people who usually do not have access; how game mechanics can be deployed in order to foster civic participation by offering users a sense of autonomy, competence and relatedness; and how crowdsourcing can organise a large group of people into achieving a common goal. The combination of these three elements resulted in a case for civic participation in the digital era."
Smart cities in the new service economy: building platforms for smart services,AI & SOCIETY,,29,3,10.1007/s00146-013-0464-0,Ari-Veikko AnttiroikoPekka ValkamaStephen J. Bailey,2014,http://link.springer.com/article/10.1007/s00146-013-0464-0,Article,"Recent changes in service environments have changed the preconditions of their production and consumption. These changes include unbundling services from production processes, growth of the information-rich economy and society, the search for creativity in service production and consumption and continuing growth of digital technologies. These contextual changes affect city governments because they provide a range of infrastructure and welfare services to citizens. Concepts such as ‘smart city’, ‘intelligent city’ and ‘knowledge city’ build new horizons for cities in undertaking their challenging service functions in an increasingly cost-conscious, competitive and environmentally oriented setting. What is essential in practically all of them is that they paint a picture of cities with smooth information processes, facilitation of creativity and innovativeness, and smart and sustainable solutions promoted through service platforms. This article discusses this topic, starting from the nature of services and the new service economy as the context of smart local public services. On this basis, we build an overall framework for understanding the basic forms and dimensions of smart public services. The focus is on conceptual systematisation of the key dimensions of smart services and the conceptual modelling of smart service platforms through which digital technology is increasingly embedded in social creativity. We provide examples of real-life smart service applications within the European context."
Community networks and the evolution of civic intelligence,AI & SOCIETY,,25,3,10.1007/s00146-009-0260-z,Douglas Schuler,2010,http://link.springer.com/article/10.1007/s00146-009-0260-z,Article,"Although the intrinsic physicality of human beings has not changed in millennia, the species has managed to profoundly reconstitute the physical and social world it inhabits. Although the word “profound” is insufficient to describe the vast changes our world has undergone, it is sufficiently neutral to encompass both the opportunities—and the challenges—that our age provides. It is a premise of my work that technology, particularly information and communication technology (ICT), offers spectacular opportunities for humankind to address its collective problems. The problems themselves are equally spectacular that is war and militarism, poverty, environmental depletion and destruction, disease, etc., and lack of successful alleviation may prove catastrophic. Humankind’s problems will not be solved by elite fiat, by chance, or as a side-effect of the “free market.” To address these challenges effectively and appropriately, “civic intelligence” will be required. This paper is designed to explore the relation between community networks and the nascent concept of civic intelligence. Civic intelligence describes the capacity of society to consciously adapt to its environment and shape a future environment that is healthy, equitable, and sustainable. Although individuals contribute to civic intelligence, the concept describes a phenomenon that is collective and distributed. This paper argues that community networks were an important manifestation of civic intelligence in the early days of the Internet revolution. It further argues that a theory of civic intelligence can be used to account for the declining influence of traditional community networks and to provide useful prescriptions for renewed vitality and influence of community networks in the future."
Space and Situated Cognition: Proceedings of the Sixth International Conference on Spatial Cognition (ICSC 2015),Cognitive Processing,,16,1,10.1007/s10339-015-0732-7,,2015,http://link.springer.com/article/10.1007/s10339-015-0732-7,Article,--Abstract not found--
Big Data: A Survey,Mobile Networks and Applications,,19,2,10.1007/s11036-013-0489-0,Min ChenShiwen MaoYunhao Liu,2014,http://link.springer.com/article/10.1007/s11036-013-0489-0,Article,"In this paper, we review the background and state-of-the-art of big data. We first introduce the general background of big data and review related technologies, such as could computing, Internet of Things, data centers, and Hadoop. We then focus on the four phases of the value chain of big data, i.e., data generation, data acquisition, data storage, and data analysis. For each phase, we introduce the general background, discuss the technical challenges, and review the latest advances. We finally examine the several representative applications of big data, including enterprise management, Internet of Things, online social networks, medial applications, collective intelligence, and smart grid. These discussions aim to provide a comprehensive overview and big-picture to readers of this exciting area. This survey is concluded with a discussion of open problems and future directions."
Policy makers’ perceptions on the transformational effect of Web 2.0 technologies on public services delivery,Electronic Commerce Research,,,,10.1007/s10660-015-9196-1,Manuel Pedro Rodríguez Bolívar,2015,http://link.springer.com/article/10.1007/s10660-015-9196-1,Article,"The growing participation in social networking sites is altering the nature of social relations and changing the nature of political and public dialogue. This paper contributes to the current debate on Web 2.0 technologies and their implications for local governance, identifying the perceptions of policy makers on the use of Web 2.0 in providing public services and on the changing roles that could arise from the resulting interaction between local governments and their stakeholders. The results obtained suggest that policy makers are willing to implement Web 2.0 technologies in providing public services, but preferably under the Bureaucratic model framework, thus retaining a leading role in this implementation. The learning curve of local governments in the use of Web 2.0 technologies is a factor that could influence policy makers’ perceptions. In this respect, many research gaps are identified and further study of the question is recommended."
From Publics to Communities: Researching the Path of Shared Issues Through ICT,Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-016-9252-y,Thomas LudwigChristian ReuterVolkmar Pipek,2016,http://link.springer.com/article/10.1007/s10606-016-9252-y,Article,"In recent years, citizens’ movements such as the Arab Spring or Euromaidan protests have clearly shown that, whenever affected – whether negatively or positively – by the state and government decisions, citizens act to deal with the shared issues. Groups of people who organize themselves to address (mainly political) issues were defined as a ‘public’ by the philosopher John Dewey. He believed it is necessary to improve communication to create a ‘Great Community’ as a cohesive group of a public. Although information and communication technologies (ICT) lead to ambivalent effects on pursuing this goal and often distract the mass of people from discussing these issues, we argue that nowadays ICT can improve communication and has the potential to foster the detection of issues and therefore promote the (trans-)formation of a public into an issue-based community. As our foundation we took a literature study covering the formation of publics and their potential to evolve into communities, as well as their interplay with technology. This formed the basis for the development of our operational model that ‘follows the issues’ for capturing the (trans-)formation of a public. Based on our model, we outline different perspectives on detecting shared issues as early indicators for publics based on ICT and derive implications for researching this process from a practical perspective."
A history of AI and Law in 50 papers: 25 years of the international conference on AI and Law,Artificial Intelligence and Law,,20,3,10.1007/s10506-012-9131-x,Trevor Bench-CaponMichał AraszkiewiczKevin AshleyKatie AtkinsonFloris BexFilipe BorgesDaniele BourcierPaul BourgineJack G. ConradEnrico FrancesconiThomas F. GordonGuido GovernatoriJochen L. LeidnerDavid D. LewisRonald P. LouiL. Thorne McCarty,2012,http://link.springer.com/article/10.1007/s10506-012-9131-x,Article,"We provide a retrospective of 25 years of the International Conference on AI and Law, which was first held in 1987. Fifty papers have been selected from the thirteen conferences and each of them is described in a short subsection individually written by one of the 24 authors. These subsections attempt to place the paper discussed in the context of the development of AI and Law, while often offering some personal reactions and reflections. As a whole, the subsections build into a history of the last quarter century of the field, and provide some insights into where it has come from, where it is now, and where it might go."
Understanding mass participatory pervasive computing systems for environmental campaigns,Personal and Ubiquitous Computing,,18,7,10.1007/s00779-013-0756-x,Alan ChamberlainMark PaxtonKevin GloverMartin FlinthamDominic PriceChris GreenhalghSteve BenfordPeter TolmieEiman KanjoAmanda GowerAndy GowerDawn WoodgateDanaë Stanton Fraser,2014,http://link.springer.com/article/10.1007/s00779-013-0756-x,Article,"
Participate was a 3-year collaboration between industry and academia to explore how mobile, Web and broadcast technologies could combine to deliver environmental campaigns. In a series of pilot projects, schools used mobile sensors to enhance science learning; visitors to an ecological attraction employed mobile phones to access and generate locative media; and the public played a mobile phone game that challenged their environmental behaviours. Key elements of these were carried forward into an integrated trial in which participants were assigned a series of environmental missions as part of an overarching narrative that was delivered across mobile, broadcast and Web platforms. These experiences use a three-layered structure for campaigns that draw on experts, local groups and the general public, who engage through a combination of playful characterisation and social networking."
Factors influencing the decision to crowdsource: A systematic literature review,Information Systems Frontiers,,18,1,10.1007/s10796-015-9578-x,Nguyen Hoang ThuanPedro AntunesDavid Johnstone,2016,http://link.springer.com/article/10.1007/s10796-015-9578-x,Article,"Crowdsourcing is currently attracting much attention from organisations for its competitive advantages over traditional work structures regarding how to utilise skills and labour and especially to harvest expertise and innovation. Prior research suggests that the decision to crowdsource cannot simply be based on perceived advantages; rather multiple factors should be considered. However, a structured account and integration of the most important decision factors is still lacking. This research fills the gap by providing a systematic literature review of the decision to crowdsource. Our results identify nine factors and sixteen sub-factors influencing this decision. These factors are structured into a decision framework concerning task, people, management, and environmental factors. Based on this framework, we give several recommendations for managers making the crowdsourcing decision."
A framework for the ethical impact assessment of information technology,Ethics and Information Technology,,13,3,10.1007/s10676-010-9242-6,David Wright,2011,http://link.springer.com/article/10.1007/s10676-010-9242-6,Article,"This paper proposes a framework for an ethical impact assessment which can be performed in regard to any policy, service, project or programme involving information technology. The framework is structured on the four principles posited by Beauchamp and Childress together with a separate section on privacy and data protection. The framework identifies key social values and ethical issues, provides some brief explanatory contextual information which is then followed by a set of questions aimed at the technology developer or policy-maker to facilitate consideration of ethical issues, in consultation with stakeholders, which may arise in their undertaking. In addition, the framework includes a set of ethical tools and procedural practices which can be employed as part of the ethical impact assessment. Although the framework has been developed within a European context, it could be applied equally well beyond European borders."
"Overview of BISE Articles Published in 2009, 2010, and 2011",Business & Information Systems Engineering,,3,1,10.1007/s12599-011-0191-3,,2011,http://link.springer.com/article/10.1007/s12599-011-0191-3,Article,--Abstract not found--
Analyzing Political Activists’ Organization Practices: Findings from a Long Term Case Study of the European Social Forum,Computer Supported Cooperative Work (CSCW),,20,4 - 5,10.1007/s10606-011-9144-0,Saqib SaeedMarkus RohdeVolker Wulf,2011,http://link.springer.com/article/10.1007/s10606-011-9144-0,Article,"Designing ICT support for transnational networks of social activists is a challenge due to diverse organizational structures, cultural identities, political ideologies, and financial conditions. In this paper we present empirical findings on ICT usage in the organizing process of the European Social Forum (ESF) covering a period of almost 3 years. The European Social Forum is a platform for political activists involved in the anti-globalization movement. During our data collection period, the 5th and 6th European Social Fora were held in Malmo (2008) and Istanbul (2010). The paper describes complex social practices in organizing ESF events. We use the term fragmented meta-coordination to denote this type of practice. Mundane IT applications, such as a mailing list and a content management system, play a central role in enabling different aspects of fragmented meta-coordination. The findings also indicate how lacking resources, organizational distribution, and technical limitations hamper the preparation process and reduce the transparency of political decision making. Our analysis highlights central organizational and technological challenges related to ICT appropriation in transnational networks of social activists."
Cloud computing in e-Science: research challenges and opportunities,The Journal of Supercomputing,,70,1,10.1007/s11227-014-1251-5,Xiaoyu YangDavid WallomSimon WaddingtonJianwu WangArif ShaonBrian MatthewsMichael WilsonYike GuoLi GuoJon D. BlowerAthanasios V. VasilakosKecheng LiuPhilip Kershaw,2014,http://link.springer.com/article/10.1007/s11227-014-1251-5,Article,"Service-oriented architecture (SOA), workflow, the Semantic Web, and Grid computing are key enabling information technologies in the development of increasingly sophisticated e-Science infrastructures and application platforms. While the emergence of Cloud computing as a new computing paradigm has provided new directions and opportunities for e-Science infrastructure development, it also presents some challenges. Scientific research is increasingly finding that it is difficult to handle “big data” using traditional data processing techniques. Such challenges demonstrate the need for a comprehensive analysis on using the above-mentioned informatics techniques to develop appropriate e-Science infrastructure and platforms in the context of Cloud computing. This survey paper describes recent research advances in applying informatics techniques to facilitate scientific research particularly from the Cloud computing perspective. Our particular contributions include identifying associated research challenges and opportunities, presenting lessons learned, and describing our future vision for applying Cloud computing to e-Science. We believe our research findings can help indicate the future trend of e-Science, and can inform funding and research directions in how to more appropriately employ computing technologies in scientific research. We point out the open research issues hoping to spark new development and innovation in the e-Science field."
Participative marketing: extending social media marketing through the identification and interaction capabilities from the Internet of things,Personal and Ubiquitous Computing,,18,4,10.1007/s00779-013-0714-7,Antonio J. JaraMaría Concepción ParraAntonio F. Skarmeta,2014,http://link.springer.com/article/10.1007/s00779-013-0714-7,Article,"Internet of things extends the capabilities to identify products with new technologies such as near field communication, radio-frequency identification, quick response code and with existing identification technologies such as barcode. Identification allows to retrieve extended information and knowledge of the products. Thereby, customers are able to retrieve and share knowledge among the different products. This work presents the participative marketing as the evolution from the social media marketing toward the active participation from the prosumers and the empowerment of the marketing with the collective intelligence. Thereby, participative marketing enables new interaction and participation models based on the ubiquitous identification. This has been evaluated in a social platform, which integrates the knowledge and experiences from the customers, and in a mobile platform, which interacts with the products through the mentioned identification technologies.
            "
"Teaching style, ICT experience and teachers’ attitudes toward teaching with Web 2.0",Education and Information Technologies,,19,1,10.1007/s10639-012-9210-3,Ugur KaleDebbie Goh,2014,http://link.springer.com/article/10.1007/s10639-012-9210-3,Article,"Emphasis on 21st Century Skills development has increased expectations on teachers to take advantages of emerging technologies to support student learning. Yet it is not clear whether teachers are well equipped with the necessary skills, support, and positive attitudes toward integrating them in their practices. Even though student-centered teachers are considered receptive to collaborative technologies and likely to use technology meaningfully in teaching, to what extent teaching style influences their Web 2.0 adaption requires further investigation. This study attempts to identify K12 teachers’ attitudes toward the use of Web 2.0 technologies in their teaching. 161 teachers from eight middle and high schools in both rural and urban locations of West Virginia participated in this cross sectional survey study. Overall, the findings indicate that while teachers are fairly proficient in their computer and internet skills and have fairly high computer self-efficacy, their workload and a structured and standardized curriculum were inhibitors of Web 2.0 adoption. Age, self-efficacy, workload, and views about Web 2.0 in teaching were observed to be significant factors predicting teachers’ likelihood to find Web 2.0 appealing for teaching. Teaching style was not a significant predictor. The findings suggest infrastructural improvements, workload adjustments, and increased professional development opportunities allowing teachers to observe, discuss, and practice Web 2.0 technologies in their particular disciplines."
Employing online social networks to monitor and evaluate training of digital inclusion agents,Social Network Analysis and Mining,,3,3,10.1007/s13278-012-0093-5,Silvana Rossy de BritoAleksandra do Socorro da SilvaDalton Lopes MartinsNandamudi Lankalapalli VijaykumarCláudio Alex Jorge da RochaJoão Crisóstomo Weyl Albuquerque CostaCarlos Renato Lisboa Francês,2013,http://link.springer.com/article/10.1007/s13278-012-0093-5,Article,"This work presents challenges in evaluating and monitoring digital inclusion training programs, considering the aspects inherent in large-scale training, and report the main challenges in an approach based on network learning. For this, our goals are as follows: develop an architecture to provide all interface features with communication tools, data collection, automatic notification (alerts) of interest to those involved in training and proposal, and survey analyses; employ algorithms to measure the centrality, prestige, and density of interactions in a real case and consolidated training based on learning network; employ algorithms to correlate and measure, in probabilistic terms, the effects of participation in the interaction tools and the use of the resources and activities proposed; and improve a large-scale training program from the implementation of monitoring and tracking services offered in the architecture."
"Designing for reportability: sustainable gamification, public engagement, and promoting environmental debate",Personal and Ubiquitous Computing,,18,7,10.1007/s00779-013-0755-y,Peter TolmieAlan ChamberlainSteve Benford,2014,http://link.springer.com/article/10.1007/s00779-013-0755-y,Article,"There is a growing emphasis in many countries on matters such as participation in e-government, e-democracy, the provision of forums for online debate, and so on. A critical issue in all of these cases is one of encouraging engagement across a broad spectrum of potentially interested parties and stakeholders. In this paper, we use an ethnographic study of an online event, designed to encourage debate, to explore some critical issues in how the mechanisms productive of debate have shifted in company with the Web 2.0 phenomenon. By contrasting this with a prior study of how players managed their gameplay in a multiplayer pervasive game, we focus upon how different ways of constructing games and events can have serious implications for their ordinary everyday reportability in routine face-to-face interactions. We conclude that designing for reportability should be an active consideration when designing the resources for online debate and consider some ways in which that might be accomplished.
"
Service feature modeling: modeling and participatory ranking of service design alternatives,Software & Systems Modeling,,,,10.1007/s10270-014-0414-4,Erik WitternChristian Zirpins,2014,http://link.springer.com/article/10.1007/s10270-014-0414-4,Article,"The design of software-intensive service systems involves and affects numerous stakeholders including software engineers, legal and business experts as well as a potentially large number of consumers. In consequence, the challenge arises to adequately represent the interests of these groups with respect to service design decisions. Specifically, shared service design artifacts and participatory methods for influencing their development in consensus are required, which are not yet state of the art in software service engineering. To this end, we present service feature modeling. Using a modeling notation based on feature-oriented analysis, our approach can represent and interrelate diverse service design concerns and capture their potential combinations as service design alternatives. We further present a method that allows stakeholders to rank service design alternatives based on their preferences. The ranking can support service engineers in selecting viable alternatives for implementation. To exploit this potential, we have implemented a toolkit to enable both modeling and participative ranking of service design alternatives. It has been used to apply service feature modeling in the context of public service design and evaluate the approach in this context."
Collaborative systems development in disaster relief: The impact of multi-level governance,Information Systems Frontiers,,12,1,10.1007/s10796-009-9166-z,Edgar A. MaldonadoCarleen F. MaitlandAndrea H. Tapia,2010,http://link.springer.com/article/10.1007/s10796-009-9166-z,Article,"Disaster management information systems for international humanitarian relief are developed in contexts involving local, national and inter-governmental organizations together with local and international non-governmental organizations (NGOs). While the multi-organizational nature of disaster response is known to create challenges for information systems development, to date, less attention has been paid to their multi-level nature. This research sheds light on the implications of multi-level governance for disaster information systems development by integrating political science and information systems theories of multi-level governance. The integrated theoretical framework is then used to analyze a case study of a system development effort undertaken by a multi-organizational coordination body consisting of the headquarters of six large, international humanitarian relief agencies, together with their country offices in a Central American country. This research finds that multi-level governance can both negatively and positively influence information systems development. In a multi-level governance arrangement, authority for a systems development project may be diffuse and may change. The transfer of resources from higher to lower levels is key factor, as these resources help local organizations overcome resource constraints to collaboration. The initial outcome of coercion by higher levels of authority may be resistance, however over time the outcome can change to compliance."
"Smithsonian Team Flickr: a library, archives, and museums collaboration in web 2.0 space",Archival Science,,8,4,10.1007/s10502-009-9089-y,Martin R. KalfatovicEffie KapsalisKatherine P. SpiessAnne Van CampMichael Edson,2009,http://link.springer.com/article/10.1007/s10502-009-9089-y,Article,"The Flickr Commons was created as a forum for institutions to share their rich photographic collections with the emerging Web 2.0 audience of Flickr; the Smithsonian Institution was the fourth member of the Commons. The Smithsonian effort was a direct collaborative effort of the libraries, archives, museums, and information technology staff that generated new pathways for collaboration between these units. As the world’s largest museum complex, these Smithsonian units serve as a microcosm for collaboration in the information age. The Flickr Commons project provided insights into how the knowledge, skills, and abilities of libraries, archives, and museums (LAM) can converge in the Web 2.0 environment to provide collection access to new, and in some cases unknown, audiences. Simultaneously, by putting “LAM” content into an environment that allows for direct interaction by these audiences, the knowledge of the content for holding institutions is enriched. By exposing Smithsonian content within the Flickr environment, the Institution is learning what content is desired by the Web 2.0 world, how to bring crowd-sourcing into professionally curated collections, and how to bring diverse institutional skills together in a collaborative project."
Agent and multi-agent applications to support distributed communities of practice: a short review,Autonomous Agents and Multi-Agent Systems,,25,1,10.1007/s10458-011-9170-9,Gilson Yukio SatoHilton José Silva de AzevedoJean-Paul A. Barthès,2012,http://link.springer.com/article/10.1007/s10458-011-9170-9,Article,"This paper concerns the relationship between agents or multi-agent systems and distributed communities of practice. It presents a review of a number of agent and multi-agent applications with features that could contribute to supporting distributed communities of practice. The association is promising because of features like autonomy, pro-activity, flexibility or ability to integrate systems that characterize agents and multi-agent systems. Furthermore, such an association is a step towards building mixed communities of humans and artificial agents. To understand how agents and multi-agent systems could answer some of the needs of distributed communities of practice, we organize the analyzed applications into five different categories defined by considering the main activities of a community, namely: Individual Participation, Synchronous Interactions, Asynchronous Interactions, Publishing and Community Cultivation. Such a classification helps us identify the relevant features of the current technology and determine some that should be further developed, e.g. to support community coordination or gather information related to virtual communities. For each application we selected, we present its main approach and point out its potential interest."
