Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,URL,Booktitle,Chapter,Abstract
doi:10.1108/TQM-06-2012-0043,"Chowdhury, Mohammad A.",The necessity to incorporate TQM and QA study into the undergraduate chemistry/science/engineering curriculum,The TQM Journal,26,1,,2-13,2014," http://dx.doi.org/10.1108/TQM-06-2012-0043 
",,,"Purpose – The purpose of this paper is to define the necessity of total quality management (TQM) and quality assurance (QA) study into the undergraduate chemistry/science/engineering curriculum based on the consideration of current declining trend of science education, lack of social, business and technological implications with science, and for students to perceive science knowledge as useful, interesting and relevant. Design/methodology/approach – The course design is outlined as an integrated and part of the science curriculum where “student-centred” and participative “inquiry-based” learning approaches is suggested to teach TQM and QA. Findings – TQM and QA provide the opportunity to learn applied science and associated business consequences, enhance student motivation and engagements, improves decision-making and problem-solving abilities. Students become creative, develop thinking capability in a structured and logical way to express views, and evidently their knowledge-building efforts become apparent. Research limitations/implications – The impetus of the “unit course” design is to focus on the fundamental concepts and understanding of TQM and QA, develop basic knowledge and practices, and explain quality system development and continuous improvement process. Practical implications – TQM and QA study help students easily accommodate into the workforce; and enhance employability. Students achieve higher awareness of the social implications of science studies, better prepared to become future informed citizens, and take responsibility. Originality/value – The paper discusses the rationale of TQM and QA study in the undergraduate course, and explains the underlying causes for not being receptive in the higher education. The paper discusses implicated contents and issues related to TQM and QA required to consider for implementation and, in context of the outlined course."
doi:10.1108/HER-10-2012-0036,"Collins, Jenny & Allender, Tim","Knowledge transfer, educational change and the history of education: New theoretical frameworks",History of Education Review,42,2,,112-118,2013," http://dx.doi.org/10.1108/HER-10-2012-0036 
",,,"Purpose – The purpose of this paper is to present a theoretical overview of the field of knowledge transfer and educational change and a discussion of the issues raised in the six papers in this special edition. Design/methodology/approach – A theoretical analysis of the field of knowledge transfer. Findings – The six papers consider issues such as the interplay of ideas between British and Indian educationalists, post-war debates over literacy standards, the use of curriculum materials for the process of citizen formation, the influence of international exchanges in the education of adolescents for citizenship, Vigotsky and the transfer of knowledge across time, space, culture, disciplines and networks, and the way constructions of Chinese identity within history books were shaped by knowledge processes that transcended nation states. Originality/value – This special issue of the History of Education Review engages with new approaches that have become available to historians in the past decade illustrating how they might be applied for the first time to key issues in the history of education across colonial and state borders. It addresses questions about the movement of knowledge across national and cultural boundaries, and examines key problems facing educators in a range of colonial and postcolonial contexts."
doi:10.1108/FS-07-2014-0047,"Correa, C. R. & Cagnin, C. H.",Prospective games for defence strategic decisions in Brazil,Foresight,18,1,,4-23,2016," http://dx.doi.org/10.1108/FS-07-2014-0047 
",,,"Purpose – This paper aims to propose a model, based on strategic simulation and scenario planning, to improve the decision-making process in the Brazilian defence area. Design/methodology/approach – Participants are disposed in three levels: decision-makers team – which goes beyond the Ministry of Defence (and military services) alone and includes other representatives of the executive and legislative branches; political and strategic advisory team – civilian representatives with a broad understanding of the national and international contexts that can contribute to developing insights and shaping the forces that may contribute to the nation’s future; and experts database— experts in fields of interest to national defence, comprising representatives of several sectors and broad areas of knowledge, including scholars, scientists, politicians, military, industry, among others. Findings – The planning and preparation of national defence strategies require a long-term approach, which is multidisciplinary, participatory and contextualized to the geopolitical and institutional frames of the country. Research limitations/implications – However, despite many policy papers intentions, defence issues have always been considered a matter for the military arena due to the country’s cultural background. Practical/implications – Because decisions about defence have long-range impacts and political implications, policy-makers should shape them bearing in mind a complex and politically shared foresight process. Social/implications – This proposed planning process enables a participatory engagement with some civil organizations and individuals as well as amplifies their commitment in national defence issues. Originality/value – The proposal is innovative in South America, considering that it encompasses integrated simulations on participatory foresight processes as well as broadened the civilian–military dynamic relationship and the diverse viewpoints in defence implications analysis to include a wider share of the Brazilian society."
doi:10.1108/S1059-4337(2012)0000058006,"Cramer, Renee Ann",“Don't they Understand Judicial Independence?” Discourses of Judging in Undergraduate Legal Studies Classrooms: Judicial Retention and Same-Sex Marriage Rulings,,,,,45-71,,http://www.emeraldinsight.com/doi/abs/10.1108/S1059-4337%282012%290000058006,Special Issue: The Discourse of Judging,8,"Undergraduate legal studies classrooms are ideal places in which to engage discourses on judging, and to invite students to analyze and understand contemporary cultural and political representations of the proper roles of judges and judging in democracies. This chapter examines undergraduate understandings of judicial independence and judicial activism, via class discussions surrounding the judicial retention election in Iowa in 2010. The election was occasioned by the groundbreaking state supreme court case Varnum et al. v. Brien (2009), legalizing same-sex marriage in the state. Drawing on participant–observation research as a professor in these courses, and examining student dialogue, class discussion, and web-board postings on the topic, I find that legal studies students are able to articulate a complex range of views regarding the judiciary, judicial activism, and same-sex marriage. Their ability to engage in (mostly) civil discourse on the topic of judging is of particular societal importance, given the limitations of contemporary public discourses about judging. These findings point, as well, to the potential role for engaged academics in expanding and contextualizing public conversations about judicial independence, judicial activism, and rights. The chapter also highlights, however, limits in that educational experience, in particular students' lionization of legal processes, simultaneous to their cynicism about, and lack of engagement in, electoral/political processes. This points to the development of interdisciplinary legal studies curricula as a means toward effective education for democracy."
doi:10.1108/19348831011046281,"Cress, Christine M.; Yamashita, Miki; Duarte, Rebecca & Burns, Heather",A transnational comparison of service‐learning as a tool for leadership development,International Journal of Organizational Analysis,18,2,,228-244,2010," http://dx.doi.org/10.1108/19348831011046281 
",,,"Purpose – This investigation sought to identify learning outcomes for undergraduate students at a US college enrolled in community‐based learning courses. Specifically, the purpose of this paper is to examine the similarities and differences between American students' and international students' development of leadership skills through senior level service‐learning (SL) courses and analyzed the role of teaching methods on those outcomes.Design/methodology/approach – Over 150 SL courses from students representing 30 countries were examined at a major university in the USA. US and non‐US student leadership and learning outcomes were cross‐tabulated with instructional techniques to analyze for statistically significant differences.Findings – Facilitating leadership skill development is a function of utilizing transformational rather than traditional classroom teaching techniques.Practical implications – Transformational teaching and learning methods such as collaborative projects, student‐selected readings, and group decision‐making in SL courses help transform students' views of themselves, their communities, and the world as they consider their roles as leaders in an unscripted future.Originality/value – Few studies have examined the instructional elements in SL that transform student knowledge and leadership skills especially across such a breadth and variety of SL courses and student cultural backgrounds."
doi:10.1108/17410391111106284,"Currie, Wendy L. & Finnegan, David J.",The policy‐practice nexus of electronic health records adoption in the UK NHS: An institutional analysis,Journal of Enterprise Information Management,24,2,,146-170,2011," http://dx.doi.org/10.1108/17410391111106284 
",,,"Purpose – This paper seeks to report the findings from a seven‐year study on the UK National Health Service on the introduction of an electronic health record for 50 million citizens. It explores the relationship between policy and practice in the introduction of a large‐scale national ICT programme at an estimated value of £12.4bn.Design/methodology/approach – Using a longitudinal research method, data are collected on the policy‐practice nexus. The paper applies institutional theory using a conceptual model by Tolbert and Zucker on the component processes of institutionalisation.Findings – The findings suggest that institutional forces act as a driver and an inhibitor to introducing enabling technologies in the health‐care environment. A process analysis shows that, as electronic health records force disruptive change on clinicians, healthcare managers and patients, culturally embedded norms, values and behavioural patterns serve to impede the implementation process.Research limitations/implications – This research is limited in its generalisability to national, regional and local ICT implementations due to the complexity of the policy and practical issues at stake. Despite the longitudinal research approach, the use of institutional theory can only offer a flavour of how institutionalised values, norms and behaviours influence health IT policy and practice.Practical implications – The paper demonstrates the complexity of translating centralised ICT policy in healthcare to practical solutions for clinicians and other stakeholders. It shows how a large‐scale ICT programme based on procurement of technology is unlikely to succeed where important issues of user engagement and a sound “business case” have not been achieved.Originality/value – This research contributes to the theoretical literature on institutionalism by addressing the dichotomy between institutional and technical environments. While technology is often discussed in isolation of an institutional process, it may become embedded in organisational practices, reaching a process of sedimentation (institutionalisation) or fail to take hold and fade from view."
doi:10.1108/SAMPJ-09-2014-0055,"Dillard, Jesse & Brown, Judy",Broadening out and opening up: an agonistic attitude toward progressive social accounting,"Sustainability Accounting, Management and Policy Journal",6,2,,243-266,2015," http://dx.doi.org/10.1108/SAMPJ-09-2014-0055 
",,,"Purpose – The purpose of this paper is to review the current research program in agonistic dialogic accounting and to reflect on future possibilities for broadening out and opening up accounting and accountability systems, especially as they relate to social and environmental accounting (SEA). Design/methodology/approach – The authors describe an ethic of accountability as a context for dialogue and debate intended to broaden out and open up new imaginings of accounting for democracy. The authors review the accounting literature addressing dialogic accounting and agonistics as the precursor of what has evolved into agonistic dialogic accounting. The authors discuss their work to date on agonistic pluralism and engagement, recognizing the necessity of linking the normative framework to an effective political program. The authors review prior studies applying science and technology studies that have addressed these issues. Findings – The authors consider how the application of agonistic ideas might facilitate the development of multiple accountings that take pluralism seriously by addressing constituencies and perspectives often marginalized in both SEA and mainstream accounting. An ethic of accountability and science and technology studies are useful for stimulating dialogue and debate regarding democratic and civil society institutions as they relate to economic entities, especially corporations. Practical implications – Agonistic dialogic accounting in conjunction with other disciplines such as science and technology studies can be used in formulating, implementing and evaluating policy for advancing a progressive social agenda. Originality/value – A reflective view of the current work in agonistic dialogic accounting highlights considerations for further research regarding the possible interdisciplinary work particularly with science and technology studies in broadening out and opening up accounting and accountability systems as facilitators of progressive social agenda."
doi:10.1108/HESWBL-08-2014-0040,"Eaton, Jonathan",Conceptualising scholarship within college-based higher education,"Higher Education, Skills and Work-Based Learning",5,1,,5-13,2015," http://dx.doi.org/10.1108/HESWBL-08-2014-0040 
",,,"Purpose – During a period of significant crisis within HE on a global scale, there is a clear need for colleges to clearly articulate the distinct nature of their higher vocational education provision. This need is particularly acute given the current financial and political pressures impacting on a diverse HE landscape. The purpose of this paper is to argue that colleges are well placed to develop and implement an approach to scholarly activity which revitalises links with local communities. Design/methodology/approach – This paper provides a synthesis of recent research on scholarly activity within college-based higher education (CBHE) and the concept of a “civic university”. It also provides a brief case study of how scholarship within the college context can be utilised to promote meaningful community engagement. Findings – Working productively with community organisations, groups and individuals, colleges will be provoked to recast the complex relationship between teaching, research and community engagement in a manner appropriate to their immediate context rather than a national agenda. Moreover, a strengthened relationship between colleges and their local communities will recapture the rich heritage of vocational education in widening participation and raising aspirations towards education in general. Originality/value – This paper attempts to relocate current discussions of CBHE scholarly activity within the context of civic engagement. It will be of interest to colleagues across the higher vocational education sector, both nationally and internationally, in situating their institutional and departmental scholarly activity strategies within the context of the communities which they serve."
doi:10.1108/13664381211211037,"Ehrlich, Matthias; Woodward, David & Tiong, Robert","A state‐of‐practice survey on managing FX exposure in project companies, construction companies and SMEs",Journal of Financial Management of Property and Construction,17,1,,29-48,2012," http://dx.doi.org/10.1108/13664381211211037 
",,,Financial support for this research received from The Leverhulme Trust is gratefully acknowledged.
doi:10.1108/S1479-3679(2012)0000016019,"Evoh, Chijioke J.",Taming the Youth Bulge in Africa: Rethinking the World Bank's Policy on Technical and Vocational Education for Disadvantaged Youth in the Knowledge Economy,,,,,337-369,,http://www.emeraldinsight.com/doi/abs/10.1108/S1479-3679%282012%290000016019,Education Strategy in the Developing World: Revising the World Bank's Education Policy,21,"This study presents an innovative approach to Information and communication technology (ICT) skill training and employment generation for out-of-school and disadvantaged youths in Africa. With technical and policy assistance from the World Bank, ICTs can be used to revitalize technical and vocational training to meet skill and employment needs of disadvantaged youths in the region. The deplorable conditions of out-of-school youth and the state of secondary education in Africa underscore the urgency to engage disadvantaged youth in productive economic activities. An ICT-enhanced technical and vocational training program in Africa provides both private and social gains: it provides economic prospects for disadvantaged youth and; it adds to the development of the knowledge economy in Africa. The NairoBits Digital Design School in Kenya is presented as a model of a vocational and training school that uses ICTs to improve skill formation among disadvantaged youths in informal settlements in urban Africa. Meeting the objectives of an ICT-based training and employment generation program for underprivileged youth in Africa require strong regulatory frameworks and contributions from the World Bank. The involvement of the bank, particularly through private sector grants for ICT skill train in Africa will help to revitalize technical and vocational education and training in the region. Above all, the collaboration of government agencies, private businesses, other international development agencies and civil society groups in ICT skill training will help to meaningfully engage African youths in the development of their communities in the emerging knowledge economy."
doi:10.1108/TG-02-2013-0005,"Farina, Cynthia R.; Epstein, Dmitry; Heidt, Josiah B. & Newhart, Mary J.","Regulation Room: Getting “more, better” civic participation in complex government policymaking","Transforming Government: People, Process and Policy",7,4,,501-516,2013," http://dx.doi.org/10.1108/TG-02-2013-0005 
",,,"Purpose – Rulemaking (the process agencies use to make new health, safety, social and economic regulations) is one of the US Government's most important policymaking methods and has long been a target for e-government efforts. Although broad transparency and participation rights are part of its legal structure, significant barriers prevent effective engagement by many citizens. The paper aims to discuss these issues. Design/methodology/approach – RegulationRoom.org is an online experimental e-participation platform, designed and operated by Cornell e-rulemaking Initiative (CeRI), the cross-disciplinary CeRI. Using the Regulation Room as a case study, this paper addresses what capacities are required for effective civic engagement and how they can be nurtured and supported by an online participation system. Findings – The research suggests that effectively designing and deploying technology, although essential, is only one dimension of realizing broader, better online civic engagement. Effective e-participation systems must be prepared to address procedural, social, and psychological barriers that impede citizens' meaningful participation in complex policymaking processes. The research also suggests the need for re-conceptualizing the value of broad civic participation to the policymaking processes and for recognizing that novice commenters engage with policy issues differently than experienced insiders. Practical implications – The paper includes a series of strategic recommendations for policymaking seeking public input. While it indicates that a broader range of citizens can indeed be meaningfully engaged, it also cautions that getting better participation from more people requires the investment of resources. More fundamental, both government decision makers and participation designers must be open to recognizing non-traditional forms of knowledge and styles of communication – and willing to devise participation mechanisms and protocols accordingly. Originality/value – This paper describes lessons from a unique design-based research project with both practical and conceptual implications for more, better civic participation in complex government policymaking."
doi:10.1108/QAOA-11-2014-0032,"Ferguson, Laura",A world of social interaction for all,Quality in Ageing and Older Adults,16,1,,44-53,2015," http://dx.doi.org/10.1108/QAOA-11-2014-0032 
",,,"Purpose – The purpose of this paper is to highlight the actions needed and organisations to make a difference to the problem of loneliness in old age. Design/methodology/approach – Draws on the work of the Campaign to End Loneliness in collaboration with hundreds of organisations worldwide to document what has been done so far and to provide exemplars and imagined case studies based on collected experience to identify potential relevant actions. Findings – Many hundreds of organisations worldwide are recognising the need to support older peoples’ connections and abilities to engage with their communities. However, these need to be better mapped and coordinated. Practical implications – Innovative work is already being done to tackle loneliness needs to be more systematically supported and promoted. Originality/value – Identifies how much has already changed in terms of recognising and addressing loneliness but that a more comprehensive approach to support is needed."
doi:10.1108/14636681111138794,"Gatune, Julius & Najam, Adil",Africa 2060: what could be driving the good news from Africa?,Foresight,13,3,,100-110,2011," http://dx.doi.org/10.1108/14636681111138794 
",,,"Purpose – The aim of this paper is to better understand the good news coming from Africa and reflect on ideas discussed at the “Africa 2060: Good News from Africa” conference in April 2010 organized by Boston University's Frederick S. Pardee Center for the Study of the Longer‐Range Future.Design/methodology/approach – Africa's performance over the last 50 years has been akin to a roller coaster ride of good news followed by bad news, with the bad news dominating. However since the dawn of the millennium Africa's outlook has increasingly become optimistic. As one looks at Africa's future, several questions emerge: which of these gains can be consolidated? Which of the positive trends will be sustained? Has this recent period of global attention provided the continent with a real institutional scaffolding on which a positive future can be built? And what needs to be done to ensure that the dangers of chronic poverty, conflict, and institutional collapse that still lurk in the shadows will be contained long enough that they eventually disappear?Findings – The authors base their observations on the intense discussions during the conference by practitioners and experts and an engaged and informed audience, plus a broader reading of the literature, including that which was presented at the conference. These observations reflect a locus of expert and informed opinion and provide a window into the priorities that are engaging the imaginations of those thinking deep and hard about Africa's future. The authors distill seven key drivers that are of particular importance in shaping Africa's longer‐range future. Of course, all of these can operate in either a positive or a negative direction. It is the decisions that will be made by African and international policy‐makers, businesses, civic organizations, and citizens today that will determine which direction Africa will be “driven” towards tomorrow.Originality/value – There are a number of exciting opportunities that await Africa in its future, but many of these also come with potential hurdles and pitfalls. Innovation, entrepreneurship, technology, knowledge, and globalization are among the areas that have generated significant good news to record from Africa. But within each of these areas there is also the potential and reality of bad news. The choice now lies with African citizens, decision makers and societies as to whether they are able to make the type of decisions that will control the negative tendencies of these drivers and accelerate the positive tendencies."
